# ELektron2 C++ Simulation Results
# Date: 2026-03-07 21:22:39
# Integrator: CAPD Taylor (order 20)
# CAPD order: 20  stepDivisor: 10  minStep: 0.0001  maxStep: 50
# Cores: 24
# Total time: 229938 ms
# Total simulations: 24
# startEnergy: 5000 eV
# startPos: -14663.993697025551 (reduced)
# detectionDistance: 14663.993697025551 (reduced)
# rangeMin: 9.9999999999999998e-13 m
# rangeMax: 1e-10 m
# spin: 1
# Z: 6
# alpha: 0.0072992700729926996
# reducedBohr: 274.49813790303745
# zitterRadius: 1.93079634e-13 m
# atomCount: 30
# atomSpacing: 735.44784117417589 (reduced) = 1.42e-10 m
# chainHalfLength: 10663.993697025551 (reduced)
# maxTime: 1000000 (reduced)
# Summary: isNaN=0 isPos=20 isNeg=4 is120L=0 is120R=0 isRenorm=0
#
# Columns:
# idx qx qy qz rx ry rz vx vy vz ux uy uz energyIn_eV energyOut_eV angle_deg steps apexCharge apexMass v2 u2 |q-r|2 minZdot2 maxZdot2 minXdot2 maxXdot2 minR maxR isNaN isPos isNeg elapsedMs dxZERO_reduced psi0
#
0 -4304.8854457703455 4.0972327080138714e-12 -14686.103256202674 -4304.945621266641 4.096797826834847e-12 -14684.391927081257 -0.36393078708030441 3.4642867548090522e-16 -0.46439265519147294 -0.99938235382495832 1.2846812542763877e-16 -0.035141299494858794 5000 121896.15928256238 253.66274299811226 3417 1 1 0.34810615598067612 1.0000000000669016 2.932268452165284 1 1 1 0 4 0 0 0 1 19924 116.19827791314313 2.1093974149497545
1 7016.8302164424222 -1.4029032426278623e-15 14666.757802219367 7017.220826499627 -1.4835880901248361e-15 14667.666194694079 0.04723832047423044 -9.5391346086791513e-21 0.13059284605779006 -0.91866871298765118 4.2569416334316068e-17 0.39502885442048569 5000 4999.9999997737223 64.432742362848046 4911 1 1 0.019285950362699752 1.0000000000471487 0.97775310490288203 1 1 1 0 4 0 0 1 0 96714 142.2214824511338 2.387616769119477
2 -3420.4150393888572 2.9121519431718355e-16 14665.003129124972 -3420.2170867330428 2.1663798143728053e-16 14666.018001813565 -0.02589038349864153 2.1204851932519959e-21 0.13643913809711358 -0.98150354822490449 5.5140319659145219e-17 0.19144394798817255 5000 4999.9999996922552 103.12876436391599 4692 1 1 0.019285950362389961 1.0000000003993754 1.0691518279953878 1 1 1 0 4 0 0 1 0 94942 -211.24687520695497 2.8648623782933957
3 -14258.811572695098 3.5575487190769395e-15 14668.649810183493 -14258.919704980442 3.5012594622361731e-15 14669.682166130095 -0.068167103137968754 1.6947835948040305e-20 0.12099254673584819 -0.99455915734636013 7.0668706206699458e-17 -0.10417332818084687 5000 4999.9999874484956 134.18829965693362 5617 1 1 0.019285950315848878 0.99999999976577636 1.0774513916171591 1 1 1 0 4 0 0 1 0 98806 16.207773873562711 4.5504438020190694
4 1000.8344174541539 -6.4238597737444268e-18 14665.317761745171 1000.4263172817433 7.0599327408479896e-17 14664.478423285171 0.010818771663686163 -2.3317788799510593e-22 0.13845181309284046 0.89933059917598701 -1.8704337546891931e-17 -0.43726933748912533 5000 5000.0000014326915 86.095903723727716 4426 1 1 0.019285950369005808 1.0000000001224183 0.87103480115736431 1 1 1 0 4 0 0 1 0 93398 -499.92080536736717 4.4219739734776606
5 -9229.4896420509685 -5.4602875902745716e-15 14666.300678869369 -9228.737879820259 -5.4643650743043369e-15 14665.61192786438 -0.072719966736282851 -4.3101308385269754e-20 0.11831211599548791 0.67553040685276999 -8.3787257317726591e-17 0.73733212984066054 5000 4999.9999973419453 122.18216976473003 6048 1 1 0.019285950353455872 1.0000000002780336 1.039524398395028 1 1 1 0 4 0 0 1 0 100237 377.2303770524523 4.1749362552499303
6 10569.989257810836 6.8809407963482424e-12 14671.943759423055 10569.197435543509 6.8810557771700939e-12 14671.949597101724 0.12473380266262794 8.1209825561768705e-17 0.24695884027424395 -0.0073722604884385139 5.4527307292762924e-17 -0.99997282430547363 5000 20757.405286411034 54.230196703344014 9881 1 1 0.076547190316278949 0.99999999957417507 0.62701658152712625 1 1 1 0 4 0 0 1 0 67336 -249.83671528204692 4.0664586838978494
7 24795.374081144586 -1.5328740219810988e-14 14664.762872598096 24796.038049326035 -1.5413594280719801e-14 14665.466824548459 0.10463777851085299 -6.4756870564937249e-20 0.091306547860331003 -0.72746453952633394 1.2397067230653557e-17 0.68614527916828294 5000 5000.0000027089436 30.601402976997541 6977 1 1 0.019285950373857243 1.0000000003931819 0.93640209439637634 1 1 1 0 4 0 0 1 0 112672 -224.45917171508398 0.14378213710825394
8 -10469.718185183172 3.4934323546163369e-16 14668.092784117724 -10468.618566790901 2.8525922072286526e-16 14668.033214068008 -0.079448911048387777 2.5487846131844582e-21 0.11390268164690624 0.054094066359778537 -6.1951445130460029e-17 0.99853584428072351 5000 4999.9999972565065 125.51829774042886 5478 1 1 0.019285950353131104 1.0000000003287535 1.2127091994432018 1 1 1 0 4 0 0 1 0 99574 419.26634463959277 4.3235286605462075
9 132651.770151378 -1.6534511075679037e-12 -11704.823103748584 132651.48856245767 -1.6533618548010302e-12 -11705.921799992933 0.13883211122064057 -1.7305330904163874e-18 -0.0034053048072146446 0.96869102600691148 -2.8103015535728114e-17 -0.24826939956112459 5000 5000.0002218369173 354.95743957658192 22240 1 1 0.019285951206810353 0.9999999986247643 1.2864257574023081 1 1 1 0 4 0 0 0 1 229906 -157.80694769794394 2.6230386355980544
