# ELektron2 C++ Simulation Results
# Date: 2026-03-07 22:08:38
# Integrator: CAPD Taylor (order 20)
# CAPD order: 20  stepDivisor: 10  minStep: 0.0001  maxStep: 50
# Cores: 24
# Total time: 233282 ms
# Total simulations: 24
# startEnergy: 5000 eV
# startPos: -14663.993697025551 (reduced)
# detectionDistance: 14663.993697025551 (reduced)
# rangeMin: 1e-13 m
# rangeMax: 9.9999999999999998e-13 m
# spin: 1
# Z: 6
# alpha: 0.0072992700729926996
# reducedBohr: 274.49813790303745
# zitterRadius: 1.93079634e-13 m
# atomCount: 30
# atomSpacing: 735.44784117417589 (reduced) = 1.42e-10 m
# chainHalfLength: 10663.993697025551 (reduced)
# maxTime: 1000000 (reduced)
# Summary: isNaN=0 isPos=14 isNeg=10 is120L=0 is120R=0 isRenorm=0
#
# Columns:
# idx qx qy qz rx ry rz vx vy vz ux uy uz energyIn_eV energyOut_eV angle_deg steps apexCharge apexMass v2 u2 |q-r|2 minZdot2 maxZdot2 minXdot2 maxXdot2 minR maxR isNaN isPos isNeg elapsedMs dxZERO_reduced psi0
#
0 -59928.764255725509 -1.0713218182302448e-12 14664.479955938814 -59927.852027042645 -1.0714642454382572e-12 14665.564016422202 -0.31197778548117616 -5.5768258628163797e-18 0.13184814295468131 -0.76514218408465873 -1.773445861625658e-17 0.64386134930323269 5000 32099.145529246369 166.24999581635106 6479 1 1 0.11471407143433685 0.9999999989924212 2.0073483014844555 1 1 1 0 4 0 0 1 0 80114 3.4920250730061833 1.7629544775722394
1 -43778.942824627607 -4.3590600458930741e-13 -14664.005793861743 -43779.230724716246 -4.3596106408150622e-13 -14662.921213132113 -0.12656182294022755 -1.260082959857403e-18 -0.01157695283144013 -0.96652749476059996 6.212302879496704e-17 -0.25656305969306104 5000 4177.4903211324763 198.51856659284229 9870 1 1 0.0161519208628149 1.0000000017272668 1.2592018201229918 1 1 1 0 4 0 0 0 1 105256 4.3582538036738265 1.9466742418453744
2 5142.1228186687604 -3.204034207829998e-13 -14667.084177871164 5142.048039820007 -3.2032416773492133e-13 -14668.189774582152 0.10947121285726019 -6.8227491503927284e-18 -0.085361421410118682 0.99772046056590391 -3.0018111494598526e-17 -0.067482461514712822 5000 4995.9403867626052 289.32012048868313 4316 1 1 0.019270518709595438 1.0000000000439242 1.2279359635679403 1 1 1 0 4 0 0 0 1 29652 -5.0322139527402223 5.3997871493495415
3 -84581.530646241517 -1.2585135137002807e-12 14665.157667211761 -84582.289650019869 -1.2585314569464993e-12 14665.989264597481 -0.26303144291707076 -3.913554234187388e-18 0.078762995887625142 -0.73860966360781954 8.2169402148721529e-17 -0.67413334434730521 5000 20424.297728658767 170.16356937432641 9157 1 1 0.075389149484230311 1.0000000011357388 1.2676409474901451 1 1 1 0 4 0 0 1 0 113570 3.7210540184117047 2.9609679582503197
4 5507.3169204406713 -3.3172044882194116e-13 -14665.181226613337 5506.2978776149721 -3.3166173538181811e-13 -14665.632864513949 0.11224807465867997 -6.7627136525559945e-18 -0.081681357601473395 0.40518678849393786 4.4638544528614477e-17 -0.91423392339812082 5000 4996.1918095791289 290.58301074300584 4293 1 1 0.019271474444200371 1.0000000002619522 1.2424250738788862 1 1 1 0 4 0 0 0 1 29298 -5.060685234531161 0.062749627213921078
5 -141027.93557012154 -1.228120716756207e-12 -13697.9655698643 -141028.85917876274 -1.2280528239741466e-12 -13698.19014703613 -0.14518755623696286 -1.2643077636429258e-18 -0.0031276008076937217 0.23626775380495776 4.1697580012568437e-17 -0.97168799015988194 5000 5475.0448271868581 185.54770520201987 22311 1 1 0.021089208372873539 1.0000000017089909 0.90348782820340712 1 1 1 0 4 0 0 0 1 231267 4.4180993094601373 0.54759982955221187
6 7541.4398808984943 -1.9277013687997445e-12 14664.315482758204 7543.7419741755984 -1.927414103933874e-12 14663.389891960696 0.16898730390588956 -4.3199449087044272e-17 0.56759077370978828 0.37304164204867363 -5.8641323148797886e-17 0.927814600694012 5000 123166.86728489349 62.784531399537528 3678 1 1 0.35071599528185754 0.99999999996335964 6.1563517809188912 1 1 1 0 4 0 0 1 0 30279 -1.8904287570198399 4.1392697799515084
7 5682.4070100069312 -3.2817986191864974e-13 -14667.514962805622 5682.2627819372401 -3.2823857569019115e-13 -14666.63437769787 0.11350749016056139 -6.5571792759845934e-18 -0.080098254649498241 -0.98685093891664311 2.9814473572414005e-17 -0.16163299259451508 5000 5003.6121326851908 291.17708686011576 4297 1 1 0.019299680720445807 0.99999999993571864 0.79623186808187985 1 1 1 0 4 0 0 0 1 30249 -5.0736285130263337 2.575374996761616
8 -10040.254778002894 -6.2053952832525959e-12 14684.641219284591 -10037.445511066651 -6.2050669692636392e-12 14685.777913662574 -0.22991459379370646 -1.4211188314877066e-16 0.58051312847087466 -0.3750822204644802 -1.3476049907324508e-16 0.92699154683366147 5000 143191.35906094947 124.36138819575271 3780 1 1 0.38985621276636728 1.0000000000096294 9.1840548280072962 1 1 1 0 4 0 0 1 0 27658 -3.1385539542865133 5.8679609036266376
9 10781.07565199306 -2.2640319779473705e-12 14675.58138410446 10782.095299333037 -2.2639986902258922e-12 14676.537016096003 0.25946795585128296 -5.4496206892002754e-17 0.60984682601211182 -0.68383166898503978 -2.3659660405374089e-16 0.72963980740737422 5000 171387.61552420288 53.697998282119336 3717 1 1 0.43923677131069028 1.0000000000603351 1.9529132011829318 1 1 1 0 4 0 0 1 0 27162 -1.8063490229787449 4.2859566232253634
10 2843.2150464770834 -2.3021050320197316e-13 -14664.764526989851 2842.3691676142171 -2.3023800987517553e-13 -14664.177860926982 0.080337152011912494 -6.506247837550191e-18 -0.1132874508184132 -0.56990429962098843 4.8600300710574779e-17 -0.82171107431832591 5000 5000.5666990778363 280.9724150083639 4405 1 1 0.019288104506319525 1.0000000003838667 1.0596881199662611 1 1 1 0 4 0 0 0 1 25730 -4.8393312172721208 1.0724687978602332
11 -13162.470102135911 9.7910970799973164e-14 14668.517697763617 -13161.875261060117 9.7926054451063531e-14 14667.69999252504 -0.1114196716894959 8.2832325402493519e-19 0.21445600882340762 0.80866722982088024 -6.7223901156369333e-17 0.58826636092262974 5000 15609.870484724423 131.90251418487455 4959 1 1 0.058405722959860545 0.99999999997932998 1.0224777626465902 1 1 1 0 4 0 0 1 0 56274 1.1852189007722573 0.48068419354062408
12 -8647.7618214378181 3.8642408160834793e-10 14672.529667148428 -8472.6885634086393 3.8396130859020261e-10 14727.894019421563 -0.32144459410878906 1.4364009570845063e-14 0.94178060539183728 -0.30151791448177834 1.4068878017455468e-14 0.95346051163248846 5000 4671368.0876918789 120.5144391076044 5367 1 1 0.99027733577397969 0.9999999999959277 33715.857179575134 1 1 1 0 4 0 0 1 0 12714 1.1065746404200516 5.8353358306783107
13 5125.4988162682894 -8.8464606526004646e-12 14678.081453541683 5126.9794387554994 -8.8460846046600904e-12 14676.511795821785 0.11881695160802952 -2.0506777280490973e-16 0.58764185845839045 0.72743683558727423 -6.7293044719216374e-17 0.68617465011028 5000 127470.94034564382 70.751101855514563 3915 1 1 0.35944042180185581 1.0000000002231921 4.6560683072666569 1 1 1 0 4 0 0 1 0 28536 -3.2133980447136463 1.552081197822758
14 -6231.9380146616058 5.7746503859711526e-12 -14680.547046598753 -6231.1167634446329 5.7741831115018237e-12 -14679.169301255401 -0.57999808491115978 5.3751909582456679e-16 -0.37381901412725171 -0.85897356387919377 6.0128795998654517e-17 0.51201993743039875 5000 195012.89226788812 246.99862594346791 3129 1 1 0.47613843382368332 0.99999999976955278 2.5726357925083452 1 1 1 0 4 0 0 0 1 16277 -0.7639600557450571 3.8047671414007236
15 -14109.531969064874 1.3995851287093044e-12 14667.365083743527 -14108.432941275541 1.3995693456896164e-12 14666.72524039886 -0.19087749614323876 1.8935040221542789e-17 0.34272163792783034 0.50313383168295744 -5.9654026161500673e-17 0.86420850914588543 5000 44530.728779365476 133.88947440678032 4274 1 1 0.15389233963784696 0.99999999986412846 1.6172615874391361 1 1 1 0 4 0 0 1 0 40699 -2.2266411720284687 2.2253642228312507
16 4086.9219174211994 8.482547522020181e-12 -14678.187607621081 4084.1656953647048 8.465365180704538e-12 -14682.712191694791 0.56935212827122006 1.1824321875671263e-15 -0.5592906648095638 0.85402016196168062 1.8674392602193226e-15 -0.5202399090623937 5000 337102.57620136143 285.55906642275073 4139 1 1 0.63696789371009166 1.0000000000183029 28.068621064775506 1 1 1 0 4 0 0 0 1 14599 -4.1730494287837496 6.2669019932507268
17 -33454.56421130956 -4.9035084970669167e-14 14666.432842332439 -33455.110264607247 -4.8966750006778912e-14 14665.915243236754 -0.22985941802751064 -3.3683828434124535e-19 0.17402929051320509 0.68794456223811373 -9.6410647532003056e-19 -0.72576323916379915 5000 22660.448075206517 156.32742389106002 5484 1 1 0.083121546012475414 1.0000000000345199 0.56608302776849317 1 1 1 0 4 0 0 1 0 65553 3.1459635048698202 5.4487355763346725
18 3428.8561499811835 -8.2802292447907309e-12 -14675.897262784716 3400.6868214577144 -8.4143554119679628e-12 -14701.14226359442 0.62773670335044507 -1.5150985981263323e-15 -0.73451648178001183 0.66739464183521502 -1.4214804617835531e-15 -0.74470423125168361 5000 1471584.3932522007 283.15060880659985 4170 1 1 0.93356783073977112 0.99999999999451605 1430.8211353450858 1 1 1 0 4 0 0 0 1 12201 -3.8721717432001435 3.6440999427880829
19 -134792.96368669855 -6.2164617498452944e-13 3152.8293687339687 -134792.02857637082 -6.2173420165995107e-13 3153.3381710876633 -0.13877037498542699 -6.3997556675495958e-19 0.014219574033370371 -0.47794126532130043 -3.5457305611855407e-17 0.87839179754279118 5000 5045.6395671910914 178.66008670757245 22209 1 1 0.019459413259286521 1.0000000030873815 1.1333111601515093 1 1 1 0 4 0 0 1 0 230361 5.0425325753675008 3.1407359869410083
20 -41149.43520385649 -1.4149583943475965e-11 14689.625352180268 -41119.309260212496 -1.413899732226397e-11 14722.940680486829 -0.83786928750143341 -2.8811748980068388e-16 0.51624044382068479 -0.74171846856159074 -2.442214900741147e-16 0.67071134878091432 5000 2369491.4215700729 160.35432838290146 4584 1 1 0.96852913877433722 0.9999999999888648 2017.483580615009 1 1 1 0 4 0 0 1 0 13317 -3.2955415641347048 5.3895514252627725
21 453732.72935186065 -2.1378294876626069e-11 14664.06731924946 453731.07644994411 -2.1378084110479594e-11 14661.188542862279 0.78036756894939707 -3.6768178792037916e-17 0.043560732709851287 0.86721784196478791 -1.2597134237707058e-17 -0.49792892189387317 5000 308170.20152224181 1.8510827426088829 15139 1 1 0.61087108010221103 0.99999999668045869 11.019438233062955 1 1 1 0 4 0 0 1 0 154456 -3.681419977432244 0.35827534790269627
22 -146061.45055934251 -9.31252874588231e-13 -318.32413708556015 -146060.64741881384 -9.3134982884175409e-13 -317.56990841028431 -0.15036593521628547 -9.5867026684988389e-19 0.010646590622081037 -0.68456134160216153 -1.6643386779396321e-17 0.72895525506993342 5000 5906.6506479557838 180.12486936577898 22269 1 1 0.022723264365342343 0.99999999431022302 1.2138956034082302 1 1 1 0 4 0 0 0 1 233262 4.4065470852435249 4.9753223454054289
23 46504.999303612523 2.8814954063294696e-11 14677.836856725839 46509.247013004097 2.8811455292148074e-11 14673.850496558623 0.71795417047185639 4.4486537997044149e-16 0.39122882323063857 0.68431861071444811 6.0913870382610073e-16 0.72918313136770729 5000 376546.35503426677 17.516658756152612 5103 1 1 0.66851818302436172 1.0000000000413674 33.934102458017371 1 1 1 0 4 0 0 1 0 22514 -4.1364646244088181 3.4828297182087202
