# ELektron2 C++ Simulation Results
# Date: 2026-03-07 22:59:13
# Integrator: DP853 (self-contained)
# DP853 absTol: 9.9999999999999998e-13  relTol: 9.9999999999999998e-13  minStep: 1e-10  maxStep: 10
# Cores: 24
# Total time: 14514 ms
# Total simulations: 24
# startEnergy: 5000 eV
# startPos: -14663.993697025551 (reduced)
# detectionDistance: 14663.993697025551 (reduced)
# rangeMin: 1e-13 m
# rangeMax: 9.9999999999999998e-13 m
# spin: 1
# Z: 6
# alpha: 0.0072992700729926996
# reducedBohr: 274.49813790303745
# zitterRadius: 1.93079634e-13 m
# atomCount: 30
# atomSpacing: 735.44784117417589 (reduced) = 1.42e-10 m
# chainHalfLength: 10663.993697025551 (reduced)
# maxTime: 1000000 (reduced)
# Summary: isNaN=0 isPos=19 isNeg=5 is120L=0 is120R=0 isRenorm=0
#
# Columns:
# idx qx qy qz rx ry rz vx vy vz ux uy uz energyIn_eV energyOut_eV angle_deg steps apexCharge apexMass v2 u2 |q-r|2 minZdot2 maxZdot2 minXdot2 maxXdot2 minR maxR isNaN isPos isNeg elapsedMs dxZERO_reduced psi0
#
0 -358.74770428146007 -5.7194219182615999e-13 14664.030117572695 -357.50958198737169 -5.7198538390077512e-13 14665.045447297653 -0.041400740241736012 -6.6117529162742087e-17 0.44279777340055554 -0.63410552044432156 -6.2389834171233944e-17 0.77324652489095502 5000 59525.697226722099 91.401431252798844 496927 1 1 0.19778388942105343 0.99999999931390227 2.563841265502103 1 1 1 0 4 0 0 1 0 1891 -2.1524196543825007 3.5477184352902005
1 8793.5737935304005 2.6828085562267455e-11 -14663.995925589228 8794.0993569916736 2.683007965960056e-11 -14663.520838024799 0.69309643950547994 2.1150040831231397e-15 -0.31530649001738087 -0.67058554260356096 4.5820480191838918e-15 0.74183221104800345 5000 277303.25355625775 300.9498959881829 199140 1 1 0.57980085710225415 0.99999999929728178 0.50192514570092672 1 1 1 0 4 0 0 0 1 867 -4.2258746077935747 6.2278681422247457
2 -25035.620609464728 -1.3908322693382382e-12 14664.046901845366 -25034.14861959367 -1.3909645271500893e-12 14663.718077517631 -0.56388592418338235 -3.1324275665697985e-17 0.57046625916197768 0.2180141747128409 -1.7102076299394146e-16 0.97594560328768376 5000 344716.04562336166 149.64132860023324 313382 1 1 0.64339908833440795 1.000000000952282 2.2748796190055165 1 1 1 0 4 0 0 1 0 1306 2.0090743003907532 4.1271197103139379
3 -3237.4331381356646 -9.191251528272097e-11 14666.317441437202 -3198.7637344451637 -9.1773617264484807e-11 14669.678621861209 -0.12203229116539997 -3.464422323038011e-15 0.95513510677941971 -0.086594421668467023 -3.3502476091573175e-15 0.99624364799472276 5000 1382566.2800250505 102.44781734075356 171164 1 1 0.92717495228961044 1.0000000000339293 1506.6203156216543 1 1 1 0 4 0 0 1 0 723 -3.8822982303393627 4.8180987608550323
4 958864.13651581609 1.3080455756693759e-09 -7783.3016122498375 958872.14263032691 1.3081529305682703e-09 -7830.8820727667726 0.98722166854240812 1.3467269713315282e-15 0.0029658131935068736 0.9861371748023533 9.7395613843335149e-16 0.16593213079642583 5000 2696272.7879905077 359.53492833651597 309390 1 1 0.9746154188875551 0.99999999955780927 2327.9980925639707 1 1 1 0 4 0 0 0 1 1401 -2.8080584933306483 2.5910486515029412
5 6387.3014969854457 -8.2784139403143599e-11 14671.305695662539 6412.0289182988217 -8.2706653962948925e-11 14666.500427706042 0.23071483745567992 -2.9904012807420945e-15 0.91515377471077819 0.19076095538947579 -3.1592145537204241e-15 0.98163652023081882 5000 1034901.7562320041 66.473611515845846 176323 1 1 0.89073576758958661 0.9999999999519763 634.53596494293959 1 1 1 0 4 0 0 1 0 709 -4.0073522742912422 0.30225927146553788
6 -133773.3084149248 -6.684577016056288e-13 640.51279837220784 -133772.30809311531 -6.6852222401266677e-13 640.59451697698648 -0.13772124702989372 -6.8817111035356909e-19 0.011633263516099356 -0.081421078335253652 -6.6750423510958725e-17 0.99667979491443415 5000 4951.7391645413873 179.72566724957534 5675530 1 1 0.019102474703504017 1.0000000055879541 1.0073216529152602 1 1 1 0 4 0 0 1 0 14505 4.918079497374821 5.7022213422628854
7 -10564.713523200062 -1.1138219409128736e-12 14664.209930708721 -10563.21223747435 -1.1140108808231099e-12 14665.454130720089 -0.21287216684524471 -2.2441539127341982e-17 0.51033984397443544 -0.63810226243452506 -1.7201773615643487e-17 0.76995162390038274 5000 102290.86414803978 125.77056436292064 453696 1 1 0.30576131576524079 1.000000000470896 3.8018924985131082 1 1 1 0 4 0 0 1 0 1761 2.877424177253479 3.6059449398967169
8 7589.339356557829 -2.566478101354155e-11 14663.996517339117 7589.2758149339679 -2.5664830368987643e-11 14664.922609113481 0.046955675185195743 -1.5878927067474209e-16 0.1475291965598382 -0.99765442834085494 -7.3920984137784345e-17 -0.068451728109336446 5000 6236.6019442303923 62.636212690804889 1154869 1 1 0.023969699269688984 0.99999999746927259 0.86168351250600239 1 1 1 0 4 0 0 1 0 3517 1.8157824108529861 5.3029032154180555
9 -54180.630210405739 1.837492497708531e-11 14664.005862159849 -54181.630910265929 1.8375025279965814e-11 14664.115288509072 -0.74078487865523479 2.5123698127894046e-16 0.34629854555041256 -0.10870185615995602 5.5192063896976253e-16 -0.99407439570366152 5000 376769.6581464769 164.8557007631004 315048 1 1 0.66868491909458205 0.99999999772621961 1.0133743360872911 1 1 1 0 4 0 0 1 0 1292 -2.7755002291403663 3.14692284725936
