# ELektron2 C++ Simulation Results
# Date: 2026-03-08 23:30:18
# Integrator: DP853 (self-contained)
# DP853 absTol: 9.9999999999999998e-13  relTol: 9.9999999999999998e-13  minStep: 1e-10  maxStep: 10
# Cores: 24
# Total time: 63363 ms
# Total simulations: 24
# startEnergy: 5000 eV
# startPos: -14663.993697025551 (reduced)
# detectionDistance: 14663.993697025551 (reduced)
# rangeMin: 1e-13 m
# rangeMax: 9.9999999999999998e-13 m
# spin: 1
# Z: 6
# alpha: 0.0072992700729926996
# reducedBohr: 274.49813790303745
# zitterRadius: 1.93079634e-13 m
# atomCount: 30
# atomSpacing: 735.44784117417589 (reduced) = 1.42e-10 m
# chainHalfLength: 10663.993697025551 (reduced)
# maxTime: 1000000 (reduced)
#
# Columns:
# idx qx qy qz rx ry rz vx vy vz ux uy uz energyIn_eV energyOut_eV angle_deg steps elapsedMs dxZERO_reduced psi0
#
0 -2698.8182757834247 7.1224274331384335e-14 14664.115834174838 -2697.2082992186047 7.114527948222276e-14 14664.492886307233 -0.043183108366973533 1.1386509763434344e-18 0.40809892665734449 -0.22802729266912414 -2.6126814043624542e-17 0.97365474018824838 5000 49358.732567490253 100.42815528576375 549391 3615 -0.77520127406542039 1.0500311432309013
1 -12273.105332541159 -2.4551938815388819e-13 -14663.995540510579 -12272.221652445891 -2.4554468282092323e-13 -14664.240332618319 -0.12107527147839886 -2.4211748274501856e-18 -0.039501950141636093 0.2669608180309177 -9.4345184778539281e-17 0.963707382595693 5000 4195.2174831448665 230.07218197418626 729322 3917 3.8453798918296047 5.4367775635233881
2 -26070.708325080377 -3.253051965063734e-11 14669.362315613893 -26049.165961185292 -3.2502990651168034e-11 14695.361773430455 -0.68872853408552415 -8.5941719980165353e-16 0.66924950432504804 -0.77002220120904608 -9.239149134918543e-16 0.63801709197797196 5000 1321517.2002255884 150.63458600932415 175613 1576 -3.4514149403101859 0.32491582161710825
3 -12933.851965498334 -6.5082631820185686e-11 14668.512767511693 -12904.808874994553 -6.5016162298152385e-11 14678.566487726415 -0.4373449058056661 -2.2008189775276002e-15 0.85659554614005318 -0.32712052214564963 -1.8988048507169431e-15 0.94498262629909702 5000 1355237.8643580144 131.40399620162222 172471 1574 -3.7015385402882428 2.8464442767801832
4 2269.5001172378379 -1.6640171410033946e-13 -14664.004233725247 2268.3936887928739 -1.6639338614375559e-13 -14663.926508995542 0.068417136436465381 -5.0160977071685473e-18 -0.12088692495662864 -0.070075618439502566 5.0154198468692868e-17 -0.99754168299062862 5000 5002.2631899508715 278.79768121732781 351913 2632 -4.7911482954905562 1.5984533692381437
5 -1750.0093862749081 -5.9181819378948512e-12 14663.998344326217 -1750.6743802805588 -5.918195026055156e-12 14663.987833946458 -0.037454020928729737 -1.2660868793724114e-16 0.54922798567643327 0.015803250752012752 1.0157897793459007e-16 -0.99987512111857546 5000 101098.60891952571 96.805522242143979 405651 3013 1.6118259070317358 5.5426662572748642
6 16634.163649269798 2.2342835063651395e-12 14665.488586529937 16641.122736375233 2.2424456845615717e-12 14660.731830314962 0.48250243044225738 6.477744125575116e-17 0.73472234205283038 0.56430210227805733 6.7268842127770416e-17 0.82556837239191272 5000 560642.7649201348 41.400970277907518 222689 1544 -1.2254077809464667 3.8003203108512009
7 6106.1721302176902 -7.0751122111565212e-13 -14664.780873581232 6099.2184526365054 -7.2524460753109121e-13 -14672.657234435028 0.74821447484963788 -8.6422709824008632e-17 -0.49026757098993728 0.74965143531602418 -3.2313192195681492e-16 -0.66183285321150653 5000 632165.83917167888 292.60603715469682 173041 1465 -3.8706456317070446 3.1268623923052421
8 5496.7586128689409 -3.3186006552521235e-13 -14664.007451727552 5495.701433639636 -3.3183727455720979e-13 -14663.938510612767 0.11219248973114991 -6.7752267816124703e-18 -0.081773816079818581 -0.065074102067297648 6.2998878200981399e-17 -0.99788043368494028 5000 4996.8856007745253 290.54835733408515 441313 3059 -5.0599405420815886 0.36915750258615432
9 3729.7688617332033 2.7838526681939087e-12 -14664.043636739352 3729.1145721356825 2.7851132767390591e-12 -14665.966721241457 0.42702805787774267 3.1861704010970622e-16 -0.45790926998641929 0.94670657997636631 4.1015216685317228e-17 -0.32209726977046721 5000 144361.92240541868 284.27046554057 211569 1811 2.2260568010762265 1.8504723008806798
10 -23843.076784929777 -3.3489487787357224e-12 14664.011530047486 -23843.860380492839 -3.3489476713120367e-12 14664.511577149417 -0.17891530169242703 -2.5130766629382058e-17 0.19005730733296183 -0.53794351292426479 3.1332759613224066e-17 -0.84298088662823367 5000 18351.087106978648 148.40757885738566 1006103 5151 0.77981976407904363 4.3337623346024259
11 -132616.53125063685 -9.5188390220308975e-13 -6673.4110533611783 -132617.51616778015 -9.5183208586227386e-13 -6673.3232729287811 -0.1365290346398739 -9.7994507197710773e-19 0.0041039967819951374 -0.088772813661718297 6.0879115933872018e-17 -0.99605188222101415 5000 4834.6245699445062 182.88075729689237 5656070 28720 4.3433583464905983 3.6174390529615872
12 -9050.6813811615903 4.0315256611961243e-13 14664.857607443053 -9045.1034652397811 4.0358541725045653e-13 14667.959578092581 -0.29485529600619009 1.3128949494566888e-17 0.82517570549252206 -0.48601745006460051 -4.5698445314635562e-18 0.87394910509033352 5000 549573.69195430225 121.68155847683882 228658 1959 1.1585848914985741 2.9423783085748423
13 -12375.19830796538 3.374108083919624e-12 -14664.007331319292 -12376.153532872771 3.3742558430758196e-12 -14663.301277728295 -0.23723775494519356 6.4676770600340738e-17 -0.076697021880009736 -0.59440074661949827 1.0090172090387922e-16 -0.80416898318445373 5000 16664.033923680789 229.83842698113332 504324 3319 1.7115334199267462 4.6802903695708666
14 -158949.88585937207 -4.6975099107861409e-11 14664.003730819728 -158948.86314724962 -4.6975499890010998e-11 14664.188880506454 -0.91045634773176232 -2.6906698030161476e-16 0.14507651680000672 -0.17814218876428523 -1.2229451464563887e-15 0.9840047551880291 5000 808299.39179609355 174.72906828432303 409721 3086 2.6514207390172304 6.2244706340996663
15 -10016.213760787336 -8.3042307042560261e-12 14664.207649945522 -10013.692729798349 -8.3036455541003706e-12 14666.207147462736 -0.24464604840538876 -2.0284815402860456e-16 0.61868486623007879 -0.62140599473784874 -2.4513365917639227e-16 0.78348872965312855 5000 173457.1159297601 124.334567893944 321004 2428 -3.2374172383199062 0.067641414028174932
16 5531.4972896123418 5.2256481442648811e-14 14664.500240663403 5535.5590231584165 5.3445738241246444e-14 14664.528430416351 0.16594578431452919 1.5543033677770256e-18 0.75995801413234898 -0.006940158661090959 -8.6350848897425625e-17 0.99997591688625198 5000 302135.90721399296 69.333361081036614 274321 2248 -0.59589895613506494 2.7110981068356499
17 -7974.3268376085116 -9.2130633881358509e-12 14664.039408054687 -7971.0021987589053 -9.2123794220185333e-12 14664.449473236606 -0.19900977031585704 -2.299463369680233e-16 0.63216923702911187 -0.12241364238325315 -1.784196913340977e-16 0.99247916838585215 5000 171391.30371675736 118.53741457729906 318391 2282 -3.2741546264737038 0.43487743678388852
18 2501.4809759800128 -2.0936926959660043e-13 -14664.013598222127 2500.6038628961223 -2.0931825632755307e-13 -14664.737367753361 0.073475390732553561 -6.1499855654971925e-18 -0.11776592193440111 0.63646208469313825 3.0618473638401995e-17 -0.77130798981853022 5000 4995.1319043014873 279.68069548876099 356981 2558 -4.810180318653333 5.9241770207913289
