# ELektron2 C++ Simulation Results
# Date: 2026-03-09 10:30:09
# Integrator: DP853 (self-contained)
# DP853 absTol: 9.9999999999999998e-13  relTol: 9.9999999999999998e-13  minStep: 1e-10  maxStep: 10
# Cores: 24
# Total time: 13892 ms
# Total simulations: 24
# startEnergy: 5000 eV
# startPos: -14663.993697025551 (reduced)
# detectionDistance: 14663.993697025551 (reduced)
# rangeMin: 9.9999999999999998e-13 m
# rangeMax: 1e-10 m
# spin: 1
# Z: 6
# alpha: 0.0072992700729926996
# reducedBohr: 274.49813790303745
# zitterRadius: 1.93079634e-13 m
# atomCount: 30
# atomSpacing: 735.44784117417589 (reduced) = 1.42e-10 m
# chainHalfLength: 10663.993697025551 (reduced)
# maxTime: 1000000 (reduced)
#
# Columns:
# idx qx qy qz rx ry rz vx vy vz ux uy uz energyIn_eV energyOut_eV angle_deg steps elapsedMs dxZERO_reduced psi0
#
0 -2744.9841160698725 1.0699750615355965e-16 3138.6730398161103 -2744.6727400214691 1.4522957879276109e-16 3137.7379526385516 -0.039175381243234261 1.3371389568720268e-21 0.13323378148615103 0.94878055975475151 -7.1764120266508452e-17 0.31593582748914412 5000 5000.0001739159698 131.17191497074299 743118 7014 258.16262138605879 3.5178842361639591
1 -2109.1692466780296 7.8137275907525648e-17 14663.993914751994 -2108.4185974974703 -1.7204082232244168e-17 14664.795139742087 -0.017179332486753258 5.4018312120633014e-22 0.13780718737438202 -0.72976405106746123 9.9956516408813915e-18 0.68369907899391369 5000 4999.9999982028021 98.184900620455508 1203306 10423 391.79416273129561 1.5958207681930539
2 -2744.9886834892004 1.8050536666749331e-16 -2215.1994689021999 -2743.8629848981936 1.1184758836723364e-16 -2215.2062767671409 -0.051120342990248001 3.112854944167296e-21 0.12912266089144386 0.0060475704231612287 -5.6744727161574417e-17 0.99998171327268282 5000 5000.0001735148717 218.90344883239709 530772 6124 125.90702994673511 3.3836762198544053
3 2744.9838304809364 4.2181579191580032e-16 3435.2254629227209 2744.1522083667683 4.8953072788820531e-16 3434.9551206962483 0.026384989368412215 3.9067461033868806e-21 0.13634435588902313 0.30915334237142356 5.0383542355168683e-17 -0.95101220316858248 5000 5000.0001797329696 51.372715509185682 749897 9093 -32.991299358414864 0.86245953950331933
4 2744.9827675994543 5.9054956019080631e-16 -6136.2520771671925 2745.2033237176802 5.1944330953336364e-16 -6135.3375230571401 0.07227117177284241 1.5107340848647901e-20 0.11858679863674582 -0.97213027160006638 5.6316827372882079e-17 0.23444132594964878 5000 5000.0001885638203 294.10081355469748 379433 4101 -15.631732051224027 4.4127823299583753
5 2744.9864225141764 -5.8535369876755853e-16 1482.9450264222394 2746.0072765077507 -6.1642969314384085e-16 1482.4428597567016 0.046702825922160358 -1.0201248900400327e-20 0.13078530911539163 0.44139561691371104 -7.2076015162358293e-17 0.89731260386151546 5000 5000.0001751976679 28.379587671837946 678073 9953 100.18111615822539 1.6794640755817865
6 -2744.9870824898462 -3.1112586028054087e-16 7176.2065048762806 -2745.0655958020743 -2.5030743261322411e-16 7175.2915433050648 -0.057334787797882127 -6.7209217586670222e-21 0.12648586141345716 0.99633848666328051 -5.166792378959476e-17 -0.085496306373294501 5000 5000.0001751471764 110.93246612406786 917255 10823 -447.65327973246826 0.7493106981118387
7 -2744.9834204591293 1.3633527671396388e-16 -3826.5769874255798 -2745.4108188274513 1.0737614518494732e-16 -3825.6669565290053 -0.080328692287075593 3.6001136723842298e-21 0.11328394509725066 -0.90514471906021932 8.3490443451336468e-17 -0.4251035618973617 5000 5000.0001730468293 234.34634887589561 479196 3739 194.78757472168263 3.0449198558300541
8 -2744.9830243735528 1.8968403480460982e-16 3665.1722878090845 -2745.7894144835091 2.1732558966412931e-16 3665.5261936081097 -0.027413650198776885 1.76910356324173e-21 0.13614126048337488 -0.4018766441470043 8.7609362107434069e-17 -0.91569381537638672 5000 5000.0001735399474 126.83089715299896 759672 11220 89.156484575677126 0.39896446240575062
9 2744.9890156159936 4.9782770549094666e-16 7559.6176620635024 2744.1512268479205 5.685618032758226e-16 7559.3033221636215 0.06023920463011203 1.0441146269112882e-20 0.1251286907844201 0.35128912715379218 4.9397468244396895e-17 -0.93626702928405203 5000 5000.0001758204762 70.043425453861161 933008 11807 462.51618968956251 1.7842148187145948
