# ELektron2 ROCm/HIP Simulation Results
# Date: 2026-03-11 22:32:31
# Integrator: DP853 (ROCm/HIP, GPU: AMD Instinct MI300X VF)
# DP853 absTol: 9.9999999999999998e-13  relTol: 9.9999999999999998e-13  minStep: 1e-10  maxStep: 10
# Kernel time: 787949 ms
# Total time: 788022 ms
# Total simulations: 100000
# Detected: 3608
# Detected ratio: 3.6080000000000001%
# Detector: 100mm x 100mm at 1m
# startEnergy: 4990 eV
# startPos: -14663.993697025551 (reduced)
# detectionDistance: 14663.993697025551 (reduced)
# rangeMin: 9.9999999999999998e-13 m
# rangeMax: 1e-10 m
# spin: 1
# Z: 6
# alpha: 0.0072992700729926996
# reducedBohr: 274.49813790303745
# zitterRadius: 1.93079634e-13 m
# atomCount: 30
# atomSpacing: 735.44784117417589 (reduced) = 1.42e-10 m
# chainHalfLength: 10663.993697025551 (reduced)
# maxTime: 1000000 (reduced)
# Summary: isNaN=28 isPos=3179 isNeg=120 xyEscape=96673
#
# Columns:
# idx qx qy qz rx ry rz vx vy vz ux uy uz energyIn_eV energyOut_eV angle_deg steps apexCharge exitCode dxZERO_reduced psi0 xDet_mm yDet_mm
#
0 823.49499139798149 5.636031961067342e-18 5665.1895789161745 822.70953647781778 7.7438523244361374e-17 5664.8065892287887 0.0052363001462897227 -9.4003595438561683e-23 0.13864779554361381 0.43827659756885973 3.775344696919849e-17 -0.89884015423810648 4990 4990.7084076158581 81.72938201369567 831585 56.387228133433844 5 -2.7040607874390934e-11 4.6977733231483771 37.766919594784056 -6.7800281331549483e-19
1 -550.57320531031371 4.4474171728322062e-17 14664.007585568443 -550.0134343297068 6.5525739997485979e-17 14663.112836756232 -0.0033161581947505881 2.5865110489107562e-22 0.13869733921732508 0.84776274445262589 -7.63140642189507e-17 0.53037564817764871 4990 4990.0030843795794 92.150210994042055 1199414 68.210407793531985 0 9.4013502859258585e-11 2.3048110688401127 -23.909313714767769 1.8648598909730691e-18
2 -823.49444448736358 -2.9920716510441369e-17 11346.306549786652 -822.84464956739032 -1.2277657559049167e-16 11347.164965758917 -0.0067859392830611886 -2.3973824432894305e-22 0.13857213150298811 -0.797324661660751 1.9637489137220451e-17 0.60355064743984344 4990 4990.0914167859228 94.151145593979763 1064021 20.698402064807347 5 -7.6790996931403011e-11 5.5813572108456553 -48.970447444657076 -1.7300610283516743e-18
3 -524.33904263551699 -1.0272355843980186e-13 14664.084910432506 -521.98654719280501 -1.0265039882707073e-13 14663.953970294131 -0.010832867057326149 -2.1244767779925377e-18 0.58216674005976221 0.055574083722314024 -2.6312909147581742e-17 0.99845456636598295 4990 117538.40796720417 92.047834603594481 484702 0.95804160069957711 0 3.6793547726716123e-11 1.471551030536755 -18.607842585122782 -3.6492582482029977e-15
4 823.49457681364856 8.4549562455881539e-18 3579.0060496681135 823.21450807556857 -2.9736817750578003e-17 3579.8991912755678 0.0066193404411751203 -8.2175910216532641e-23 0.13858844974698778 -0.95418692416447315 8.5939157796719566e-17 -0.29921115038275764 4990 4990.6936822933212 77.042321700764631 746426 56.024978309372834 5 -2.7006936813881362e-11 2.7005985070359215 47.7625693429693 -5.9294919862770689e-19
5 -730.14167379964772 7.3557742903742924e-17 14664.01703234358 -729.21109375669903 5.3898486507862162e-17 14663.413859092016 -0.0014717499543993114 1.7597411673644403e-22 0.13872826738840366 0.54390784885779009 -7.6706973139064585e-17 0.83914495447702164 4990 4989.9371644406501 92.85048197944306 1199240 56.823835460298916 0 2.7069317529421516e-11 1.9407996589376191 -10.608868560859252 1.2684806063623754e-18
6 171.95142684306325 1.4449652667706051e-17 14663.998754207438 171.85837199780278 7.9374779241077991e-17 14663.040713271525 -0.0055348962450258417 -4.3359025480991487e-22 0.13862622080275644 0.99531596489100882 -4.6700599330814418e-17 -0.096675382272669169 4990 4989.9808189550486 89.328175098527552 1198993 39.321930934868917 0 -8.2796090130815947e-12 2.7638414889172087 -39.926762866176226 -3.1277650959470821e-18
7 -298.27734087559105 1.4723697016877594e-17 14664.012356900721 -299.13827537508473 6.5934536008135767e-17 14664.036329890578 0.0024778659998043466 3.034595639033639e-22 0.13871483266708423 -0.027834522733838712 7.2386037045423664e-17 -0.99961254467410976 4990 4990.0019823313314 91.165279729870491 1198725 21.285695795835558 0 -7.3301725924143682e-11 2.3889595061280628 17.8630212224761 2.187650434122407e-18
8 -176.62963913007539 4.6823417020879028e-17 14663.996842687753 -177.35712275658099 6.0895043328725652e-17 14664.488329063439 0.0038975290161791364 -3.0222403692862012e-22 0.13868239165017918 -0.55981313567545987 9.4436999760936193e-17 -0.82861888285943941 4990 4990.0156257144181 90.690101313019809 1198379 47.280550244936464 0 -7.965750170164728e-11 1.5226338457184929 28.103993375096234 -2.1792531361224877e-18
9 -823.49478010240853 7.3252191670535408e-17 7383.7912878686548 -822.83322082444363 -1.9714857850248068e-17 7384.6401324214221 -0.0043615982279076671 3.6540934804792788e-22 0.13867782387836972 -0.78874534129050533 1.8593209344024516e-17 0.61472008794944299 4990 4990.6906054434503 96.363749365132151 901830 56.358151751617882 5 2.7028132013108987e-11 4.9829127963025179 -31.451302781712943 2.6349515577084466e-18
10 321.55430265500797 -2.3736952709490367e-18 14664.009377973545 321.07050247390305 7.506655996782146e-17 14663.236066102358 -0.0018832624734968395 -1.9740647075345967e-23 0.13872422046942232 0.84776159105428361 -1.0636082290204866e-17 -0.53037749074213536 4990 4990.0049813602391 88.743812020695472 1198945 67.592995947726067 0 -7.9365347824143518e-11 2.5013861999311846 -13.575585194309667 -1.4230137324647799e-19
