# ELektron2 Java Simulation Results
# Date: 2026-03-13 19:43:59
# Integrator: DormandPrince853 (commons-math3)
# DP853 minStep: 1.0E-10  maxStep: 10.0  absTol: 1.0E-12  relTol: 1.0E-12
# Java: 25.0.2  OS: Windows 11 amd64
# Cores: 24
# Total time: 186384 ms
# Total simulations: 1000
# Detected: 37
# Detected ratio: 3.7%
# Detector: 100.0mm x 100.0mm at 1.0m
# startEnergy: 5000.0 eV
# startPos: -14663.993697025551 (reduced)
# detectionDistance: 14663.993697025551 (reduced)
# rangeMin: 1.0E-12 m
# rangeMax: 1.0E-10 m
# spin: 1
# Z: 6.0
# atomCount: 30
# atomSpacing: 735.4478411741759 (reduced) = 1.42E-10 m
# chainHalfLength: 10663.993697025551 (reduced)
#
# Columns:
# idx qx qy qz rx ry rz vx vy vz ux uy uz energyIn_eV energyOut_eV angle_deg steps elapsedMs dxZERO_reduced psi0 xDet_mm yDet_mm detected
#
0 -620.7628264622122 0.8641223047165439 14663.993697102302 -619.763483125204 0.8208791772248627 14663.993564801347 -0.009378415713011106 1.2947551685569093E-5 0.13855683117465453 -0.042796038227237584 -0.9894349448782125 0.13851710801222428 5000.0 4999.999986984993 92.42402361468916 1025601 9566 411.35960621670057 3.4975577786433703 -67.68641887594389 0.09344578376831067 0
1 -617.6607419484765 0.5076277889325616 14663.993697025551 -616.9932346465619 1.249102063353203 14663.99369116021 -0.0030890224542660123 2.5273278790602253E-6 0.13883950533029582 0.7360074923097403 -0.6625847692365572 0.13883225365668878 5000.0 4999.999984981544 92.41192459194833 1025665 7641 -177.75962954146613 6.066864158503062 -22.248872515911827 0.01820323310031805 1
2 792.4952659258153 -1.450341577357742 14663.993697025553 791.5724137465169 -1.8327868415645896 14663.992831728558 0.0025258301577619803 -4.615588138533207E-6 0.1388508918239948 -0.37926542585304146 0.9148658024180775 0.13848573964220198 5000.0 4999.999904253954 86.90653817162053 1021230 7429 216.8172491848944 3.862846424475249 18.19095379641985 -0.03324132872249646 1
3 681.6273643242691 -0.29329146740844425 14663.993697025551 682.1053616617241 0.58609775931819 14663.993691813228 0.0010056080507871458 -4.3192956475217763E-7 0.13887022370186733 0.8700734982186137 -0.4729328930138468 0.13894814387424195 5000.0 4999.99997768746 87.33863226801634 1025508 7910 -140.18554696358555 0.5019931961902815 7.241351126113465 -0.0031103108588595844 1
4 497.32103203144203 -0.18238528767884182 14663.993697025553 497.6654361286788 -1.1177065735844736 14663.993736206434 0.003464892719012932 -1.2524106841294943E-6 0.13883063379938054 -0.9293168964377576 -0.3421873443412824 0.13884497472827304 5000.0 5000.000000184352 88.05759060763144 1024862 9180 -513.3520738227743 5.68706184987688 24.95769574905155 -0.009021140722726303 1
5 -809.6427671070958 0.9859397170944106 14663.993697025553 -810.19655870508 0.14872529062616852 14663.993948762405 -0.004457743524436077 5.409280176952125E-6 0.13880230114306435 -0.8259087664301081 0.5463551003353738 0.13917907049600473 5000.0 4999.999985699323 93.16026191815284 1026997 9120 -358.5342384171411 5.220450874688148 -32.11577537062195 0.03897111310407418 1
6 416.0701156228345 -0.15525714563350668 14663.993697025551 416.6953671347038 -0.9341846082997183 14663.99372663695 0.0014858291133069662 -5.503679231779536E-7 0.13886591619750077 -0.7722811168653804 -0.6199111545998345 0.13889577788666735 5000.0 5000.0000016490685 88.37474920598846 1024705 9091 -500.37444316646395 5.604708473392513 10.699739388848732 -0.003963304590848613 1
7 808.7235651941285 -1.578950853661427 14663.993697025553 809.5788249551684 -2.0882820848730246 14663.994619652278 0.008570469028898077 -1.6661379034449476E-5 0.13860915121922154 -0.5068780404794745 -0.850890320671765 0.13805909848997586 5000.0 4999.99990927375 86.84331872353359 1024138 9181 503.36702515299186 1.2381732087793018 61.83191335861504 -0.12020403334046943 0
8 499.4986135622957 -0.18555372445223206 14663.993697025553 499.47102362504705 0.8151588392763784 14663.993654918575 0.0010828025960684115 -4.004789921112482E-7 0.13886964354807294 0.9899341694192817 0.02729861682739652 0.13887089703241717 5000.0 4999.999999271641 88.04909208627583 1024835 9383 -427.2508419973673 0.4378897916932983 7.797259130240184 -0.00288384834784006 1
9 640.2426275882247 -0.6824078867845785 14663.993697025555 639.2626578627807 -0.8806618652395235 14663.993518412912 8.483807953078949E-4 -9.039356580274447E-7 0.13887127297688948 -0.1963932671214298 0.9706471511978949 0.138830085197658 5000.0 4999.999959342699 87.5000045394877 1027202 9493 101.83675787416917 4.053328749557451 6.109116573368488 -0.00650916232457864 1
10 693.9441907100158 -0.25188219104764403 14663.993697025553 694.942353767309 -0.30859893385254356 14663.993709254577 0.0037698047491702934 -1.352872119597015E-6 0.13882268878803428 -0.05618168648234201 -0.9887166110854041 0.1388635342989493 5000.0 4999.999996963313 87.2906130803403 1025212 9265 -427.1474830483438 5.476459149646765 27.155537629200776 -0.009745324279539705 1
11 497.39832491228515 -0.672696901982126 14663.993697025551 498.18210207500454 -1.2743767542516633 14663.993938603586 0.01885026298533253 -2.495011806600402E-5 0.13758858047327632 -0.6031807520121502 -0.7856771321629099 0.13742061097045633 5000.0 5000.0000395178295 88.05728895261596 1025878 9141 -513.846760910423 1.8044383009110059 137.00456041112943 -0.18133858188071103 0
12 498.22657801256815 -0.1843146779930331 14663.993697025553 498.7361082018227 0.6778403758827597 14663.993661304266 0.0016831211117999813 -6.183542618732781E-7 0.1388636650301561 0.8525528627600192 -0.5038495783377382 0.13888563099396134 5000.0 4999.999999764986 88.05405649218679 1024829 9144 -458.2414392773202 2.2265514488184643 12.120673262040643 -0.0044529593953824735 1
