energy_eV,detected,total,pct,kernel_time_s,throughput_e_per_s
5000.0,35668,1000000,3.6,11088.1,90.2
5001.0,35701,1000000,3.6,11512.6,86.9
5002.0,35502,1000000,3.6,8676.1,115.3
5003.0,35827,1000000,3.6,9459.0,105.7
5003.5,35704,1000000,3.6,8001.0,125.0
5004.0,35910,1000000,3.6,8583.9,116.5
5004.25,35590,1000000,3.6,8589.3,116.4
5004.5,36063,1000000,3.6,7861.2,127.2
5004.75,35872,1000000,3.6,7591.0,131.7
5005.0,36137,1000000,3.6,7908.3,126.4
5005.25,35712,1000000,3.6,8159.2,122.6
5005.5,35868,1000000,3.6,9027.6,110.8
5005.75,35966,1000000,3.6,7178.2,139.3
5006.0,35708,1000000,3.6,8049.8,124.2
5006.25,36188,1000000,3.6,9997.0,100.0
5006.5,35961,1000000,3.6,8608.8,116.2
5007.0,35592,1000000,3.6,8630.3,115.9
5007.5,35736,1000000,3.6,8917.1,112.1
5008.0,35766,1000000,3.6,8522.1,117.3
5009.0,35930,1000000,3.6,8448.6,118.4
5010.0,35755,1000000,3.6,8730.9,114.5
