# ELektron2 Java Simulation Results
# Date: 2026-03-07 14:19:26
# Integrator: DormandPrince853 (commons-math3)
# DP853 minStep: 1.0E-10  maxStep: 10.0  absTol: 1.0E-12  relTol: 1.0E-12
# Java: 25.0.2  OS: Windows 11 amd64
# Cores: 24
# Total time: 14077 ms
# Total simulations: 1000
# startEnergy: 5000.0 eV
# startPos: -1000.0 (reduced)
# detectionDistance: 1000.0 (reduced)
# rangeMin: 1.0E-12 m
# rangeMax: 1.0E-10 m
# spin: 1
# Z: 6.0
# alpha: 0.0072992700729927
# reducedBohr: 274.49813790303745
# zitterRadius: 1.93079634E-13 m
# maxTime: 1000000.0 (reduced)
# Summary: isNaN=0 isPos=1000 isNeg=0 is120L=0 is120R=0 isRenorm=0
#
# Columns:
# idx qx qy qz rx ry rz vx vy vz ux uy uz energyIn_eV energyOut_eV angle_deg steps apexCharge apexMass v2 u2 |q-r|2 minZdot2 maxZdot2 minXdot2 maxXdot2 minR maxR isNaN isPos isNeg elapsedMs dxZERO_reduced psi0
#
0 -148.00793328295427 9.136665522007251E-18 1000.0 -148.64767613142973 1.0033495627160513E-17 1000.6186056773596 0.0032036314186573234 8.726324989256511E-23 0.13883696248085567 -0.6951310590110875 9.583152453635903E-17 -0.7188830300190961 5000.0 5000.003957052862 98.41910767800468 81617 1.0 1.0 0.019285965405177134 1.0000000000513127 0.7919438962370258 0.9999999998636468 1.0000000001484 0.01928595037345357 0.01955411083020139 0.8602340973373294 1.1399116736799932 0 1 0 748 -170.89837263946225 1.7487407573720009
1 331.82996309897345 8.569582038462911E-18 1000.0000000000001 332.96175707216685 -6.805808899778534E-17 1000.1184910835296 -7.71614614824515E-4 9.116681477536538E-24 0.13887174210792474 -0.10412407742111453 -4.657181241579176E-17 0.9945643148383798 5000.0 5000.001520998019 71.6426092017829 81690 1.0 1.0 0.01928595614520377 0.9999999998487341 1.294997734632897 0.999999999824497 1.0000000001906486 0.01928595037188453 0.01933920426280042 0.8609471943093538 1.1390748947878653 0 1 0 800 337.5199918697718 4.148574555380642
2 -116.20767797604834 2.343650964221464E-17 1000.0 -115.68377392481774 -6.63076328665942E-17 1000.9367841297227 -0.022199622437363564 2.0522819269474488E-21 0.1370879361815594 -0.8727819436413216 3.049924991052211E-17 0.4881103140843662 5000.0 4999.993454549643 96.6284787021641 81899 1.0 1.0 0.0192859254828808 0.9999999998618616 1.152039960596146 0.9999999994977535 1.00000000050653 0.0192859254828808 0.021811014660974213 0.8528283107902986 1.1484538754593347 0 1 0 838 45.28020839964399 4.9877795574061645
3 360.8431269428129 8.553529842570594E-18 1000.0 360.6871712499127 7.656859974364678E-17 999.0543142796562 -6.313811309109371E-4 6.898214267839927E-24 0.13887244705302418 0.9866731052657997 -4.180975447462539E-17 -0.16271503756346736 5000.0 5000.001270400358 70.15836990114893 81695 1.0 1.0 0.019285955192627473 1.0000000001041363 0.9186436598101844 0.9999999999147229 1.0000000001041363 0.019285950370883456 0.0193284212213032 0.8609824805497541 1.1390298642521102 0 1 0 838 365.52475352053136 0.8055297723469332
4 344.37661246183774 8.562010173259614E-18 1000.0 344.6010448773139 5.577419447087107E-17 999.0140365920477 -7.070288492480874E-4 8.070017594175913E-24 0.13887208439834917 0.9750580363079131 -6.488442593945976E-17 0.22195005262652076 5000.0 5000.001407805882 70.99749016624946 81692 1.0 1.0 0.019285955714935885 1.000000000029559 1.0224937509374497 0.999999999875559 1.0000000001346123 0.01928595037128095 0.019334201788836807 0.8609676130840607 1.1390616504040794 0 1 0 845 349.60223041678887 6.138576545502005
5 124.17384867135524 9.237502619721495E-18 1000.0 124.2411880308002 6.590217246594555E-17 999.0160851289157 -0.003908336478184441 1.0164383722616128E-22 0.1388189161974838 0.9976661632227969 -5.697088513704747E-17 0.06828050094496786 5000.0 5000.004268293596 82.92159513412133 81605 1.0 1.0 0.019285966588270736 1.0000000000489921 0.9726230628712259 0.9999999998064268 1.000000000202491 0.019285950374672314 0.01962258351614881 0.8599999212646304 1.140178841129561 0 1 0 847 152.40665850252157 3.6640990722102815
6 -81.25662147681652 1.0102182408431989E-17 1000.0 -80.96169778262964 -6.815533854968548E-17 1000.9723919042398 0.005660621844635579 2.201159748850132E-22 0.13875851502865308 -0.9569535019177353 4.956464107150368E-17 0.29024127069088423 5000.0 5000.004674572443 94.64545532027276 81578 1.0 1.0 0.019285968132624905 1.0000000000448763 1.032526000823883 0.9999999998500662 1.000000000167306 0.01928595037409456 0.019800726607602702 0.8594018144495718 1.1408508146741723 0 1 0 876 -121.81114262516428 1.9627312731130684
7 -332.88345439834495 8.578292446848171E-18 1000.0000000000001 -332.3970763730089 3.6271751473420305E-17 999.0706028799141 7.681836825857078E-4 1.0307108414165647E-23 0.13887176108198165 0.8860074236887773 -7.429135425786278E-17 0.4636710527640158 5000.0 5000.001517572176 108.4117471449662 81689 1.0 1.0 0.019285956132181186 1.0000000000029152 1.100342590354044 0.9999999998516474 1.0000000001652691 0.019285950371903626 0.01933893690242228 0.860947538489124 1.1390724740933678 0 1 0 877 -338.27105936005864 5.482173037135985
8 -298.90194921306363 8.609197197363475E-18 1000.0000000000002 -298.0214713299283 -4.152311494948664E-18 999.3345868884228 9.786232155938723E-4 1.4569510863423114E-23 0.1388704422333863 0.6029271951632268 -7.760960664165463E-17 0.7977962128631095 5000.0 5000.001858860999 106.64150783607013 81683 1.0 1.0 0.01928595742949438 0.9999999999261158 1.2180159117496079 0.9999999998734301 1.000000000137104 0.019285950372506203 0.019355608925524112 0.8608912037760912 1.1391442284072966 0 1 0 882 -305.8025590545334 3.7805094906732224
9 -371.2215460585232 8.55514460896346E-18 1000.0000001203271 -370.826447521987 -7.479559030807775E-17 1000.9566396660696 5.900928842065763E-4 7.114670715024928E-24 0.1388726275978475 -0.9242734222554376 4.1613325481549594E-17 0.3817311108397392 5000.0 5000.001194875809 110.36601086458343 81695 1.0 1.0 0.019285954905542423 1.0000000000707197 1.071262074051485 0.9999999998588442 1.0000000001490286 0.01928595037127227 0.01932530453865614 0.8610076907919975 1.1390194426630806 0 1 0 886 -375.3284939407655 4.109656224406133
