# ELektron2 C++ Simulation Results
# Date: 2026-03-07 18:26:48
# Integrator: Boost.Odeint DormandPrince5(4)
# Boost absTol: 9.9999999999999998e-13  relTol: 9.9999999999999998e-13
# Cores: 24
# Total time: 15324 ms
# Total simulations: 10
# startEnergy: 5000 eV
# startPos: -14663.993697025551 (reduced)
# detectionDistance: 14663.993697025551 (reduced)
# rangeMin: 9.9999999999999998e-13 m
# rangeMax: 1e-10 m
# spin: 1
# Z: 6
# alpha: 0.0072992700729926996
# reducedBohr: 274.49813790303745
# zitterRadius: 1.93079634e-13 m
# atomCount: 30
# atomSpacing: 735.44784117417589 (reduced) = 1.42e-10 m
# chainHalfLength: 10663.993697025551 (reduced)
# maxTime: 1000000 (reduced)
# Summary: isNaN=0 isPos=9 isNeg=1 is120L=0 is120R=0 isRenorm=0
#
# Columns:
# idx qx qy qz rx ry rz vx vy vz ux uy uz energyIn_eV energyOut_eV angle_deg steps apexCharge apexMass v2 u2 |q-r|2 minZdot2 maxZdot2 minXdot2 maxXdot2 minR maxR isNaN isPos isNeg elapsedMs dxZERO_reduced psi0
#
0 -139.56259768946722 1.809585748290928e-13 14663.998567994133 -137.82661405960638 1.80902524575249e-13 14664.845926914566 -0.022463046329464133 2.9507573763691978e-17 0.51728841613213061 -0.43864843482693566 -2.3751923315150021e-17 0.89865875265365225 5000 86300.146926075395 90.545288269403997 6968783 1 0.74812269654235686 0.26809189391488797 1.0000000030971385 3.7316563031825027 0.99999998542147273 1.0000000145238628 0.019285950363559744 0.32537251185584365 0.61378346102350356 2.1738253783772659 0 1 0 8124 -292.44551253544125 1.6767062299561926
1 8252.8662394963158 -2.8023084897475585e-11 -14703.103099199778 7882.1854523417251 -3.0312376075414274e-11 -15290.660645318658 0.86446772606720035 -2.9348669146822702e-15 -0.50012728227716063 0.84575407567418992 -3.0610253637083298e-15 -0.53357290361543974 5000 9572285.7150026802 299.30554037204524 2082917 1 0.05444860555189944 0.99743174788973488 0.99999999999211475 482628.11596678681 0.99999998724530925 1.0000000127019053 0.019285950363559744 0.99743627996504736 0.68758324026916384 694.71441324243938 0 0 1 2523 67.265346066922646 0.81380822170604161
2 -1999.8971677495454 -1.5201453041136099e-16 14663.99438513556 -2000.4513338113068 -7.4609416943410671e-17 14663.290467015258 -0.011567314270277062 -9.0851846355638085e-22 0.13839128442097634 0.78572824972481881 -2.0480346925494317e-18 -0.6185718436519333 5000 4999.9999998828753 97.766169375028866 12996802 1 1 0.019285950363114923 1.000000008174579 0.80260074409729742 0.99999999012314922 1.0000000098372068 0.019285950363114923 0.025214118770299006 0.84233376454080178 1.1607244012562137 0 1 0 14536 -185.3804568824556 3.3516528328988846
3 -4707.0762902525139 1.4259757713050806e-16 14663.994149387261 -4706.0586198964947 4.9370222280734883e-17 14664.49704647537 -0.035277298089384353 9.6956686198068814e-22 0.13431851174461287 -0.44302379924729485 -2.1773438396328946e-17 0.89650985190551047 5000 4999.9999984781816 107.79639701129624 13262553 1 1 0.019285950357774986 1.0000000012631478 1.2885584347481689 0.99999997991061407 1.0000000199625296 0.019285950357774986 0.022028793324513404 0.85213389190664213 1.1492752182548396 0 1 0 14802 350.5188716703467 0.29464352634032714
4 3149.409030258993 -4.3278597619194365e-16 14663.995260335414 3149.7879033989539 -3.9440013624156105e-16 14663.006165639401 0.027158168407954316 -3.8632385436658906e-21 0.1361924529916039 0.9338343869874498 -6.9284651177982314e-17 0.3577056725525008 5000 4999.9999998908179 77.878631175140981 13075827 1 1 0.019285950363145045 1.000000010496463 1.1218531738651205 0.99999997046251476 1.0000000294056743 0.019285950363145045 0.021801132349179273 0.85293506325036927 1.1483407535252292 0 1 0 14617 291.90039627898335 3.7021560827960203
5 1329.440776787912 2.843429824764134e-11 14673.641302626716 1493.1327766951194 2.8825979124911983e-11 14651.519120295503 0.079903155369746834 1.7089115558955193e-15 0.99254649526761674 0.13392765844200472 1.8367622725835213e-15 0.99099111124047068 5000 5042383.2542705238 84.823101654164319 5653610 1 0.049426021745329674 0.99153305950607107 1.0000000002533813 27284.461784716656 0.99999997791452477 1.0000000230974051 0.019285950363559744 0.99157442345569502 0.45666333427038414 221.70189773088092 0 1 0 6591 382.32536632969686 2.9098387225481046
6 8001.9095880023206 1.5079081875343159e-15 14663.99477523434 8001.2414281414731 1.588510206835833e-15 14663.359596477931 0.045440285323633429 8.4455456571239061e-21 0.13122930629263005 0.68899281234807752 1.4533432281504955e-17 -0.72476816838591962 5000 4999.9999991523891 61.379402268435278 13556105 1 1 0.019285950360338127 0.99999999337279388 0.84988965224101531 0.99999998566467363 1.000000014319286 0.019285950360338127 0.029178450411471081 0.83169997000996998 1.1733128058679596 0 1 0 15173 151.49743717787931 6.271567837964084
7 34177.347024885799 -2.9111694477366635e-12 14664.058574186236 34179.767302146516 -2.9045501157708267e-12 14657.82231519726 0.71952929884198036 -6.1313076602084675e-17 0.4558058567900814 0.93225363561200336 1.1770924671948185e-16 0.36180541233572605 5000 464292.7712715714 23.222130972492703 3949946 1 0.43446455856873589 0.72548139097617204 0.99999999750722268 44.748668196330172 0.99999997199561197 1.0000000285733672 0.019285950363559744 0.73366625754886339 0.51844735983569301 7.4218537118054408 0 1 0 4704 -183.21373260034343 1.1811628138237353
8 -1032.1055089479182 4.9309173151557521e-17 14663.995633547604 -1032.4314063252782 1.4436775878403898e-17 14664.884251501877 -0.012224520363422529 4.5697299036057986e-22 0.13833478036710278 -0.93885213923983846 8.6512746007068717e-17 -0.34432059094379902 5000 4999.9999983611997 94.026046590377092 12966552 1 1 0.019285950357330297 1.000000008703108 0.89585096922695273 0.99999998104498966 1.0000000188550902 0.019285950357330297 0.020681384571674892 0.85648220370708572 1.1442339050261046 0 1 0 14504 512.71777883355082 0.54002487740155924
9 7281.4998234039504 -3.1078202113610335e-16 14663.995267446095 7282.6111847443162 -3.6504330415755696e-16 14663.775547168461 0.060680170857470697 -2.6958199675279162e-21 0.12491544033398508 0.1939496256970564 -6.1765544307744645e-17 0.98101148990144116 5000 5000.0000014641209 63.593011884588691 13716042 1 1 0.019285950369125223 1.0000000006266736 1.2834010292630942 0.99999998601917928 1.0000000140499001 0.019285950363559744 0.025362216738646737 0.84222764505971082 1.160859328002289 0 1 0 15317 -420.33012899709968 5.3274587921138341
