# ELektron2 C++ Simulation Results
# Date: 2026-03-07 21:01:18
# Integrator: CAPD Taylor (order 20)
# CAPD order: 20  stepDivisor: 10  minStep: 0.0001  maxStep: 50
# Cores: 24
# Total time: 153176 ms
# Total simulations: 24
# startEnergy: 5000 eV
# startPos: -14663.993697025551 (reduced)
# detectionDistance: 14663.993697025551 (reduced)
# rangeMin: 9.9999999999999998e-13 m
# rangeMax: 1e-10 m
# spin: 1
# Z: 6
# alpha: 0.0072992700729926996
# reducedBohr: 274.49813790303745
# zitterRadius: 1.93079634e-13 m
# atomCount: 30
# atomSpacing: 735.44784117417589 (reduced) = 1.42e-10 m
# chainHalfLength: 10663.993697025551 (reduced)
# maxTime: 1000000 (reduced)
# Summary: isNaN=0 isPos=24 isNeg=0 is120L=0 is120R=0 isRenorm=0
#
# Columns:
# idx qx qy qz rx ry rz vx vy vz ux uy uz energyIn_eV energyOut_eV angle_deg steps apexCharge apexMass v2 u2 |q-r|2 minZdot2 maxZdot2 minXdot2 maxXdot2 minR maxR isNaN isPos isNeg elapsedMs dxZERO_reduced psi0
#
0 -6234.9805036127964 2.5569031387961863e-16 14665.652580676548 -6235.0662050506216 3.1801409860653979e-16 14664.722010378111 -0.037334297654003201 1.4519653982173527e-21 0.13376135680601894 0.99578598652241002 -4.9497200546313616e-17 -0.091707516382820042 5000 4999.9999979861987 113.03236847654819 4367 1 1 0.019285950355904819 0.99999999951551455 0.8733058167776595 1 1 1 0 4 0 0 1 0 146462 200.96207140320172 0.022225231005107995
1 -6995.8678267945743 2.6236870263054277e-16 14668.085850787307 -6995.7367142208332 1.9086106436909044e-16 14669.122781102891 -0.045589868098806857 1.6220661833400579e-21 0.1311774152907281 -0.99210067921587153 5.8405750130521681e-17 0.12544418031556254 5000 4999.9999979118784 115.49856724924268 4419 1 1 0.019285950355622753 1.0000000000756371 1.0924149863700692 1 1 1 0 4 0 0 1 0 123088 282.37226061658492 1.5152735112344162
2 -4562.5158135102556 3.5263445259239731e-15 14664.376895772572 -4563.3902933690752 3.5690008963872301e-15 14664.559052488379 -0.076443129883254815 5.8892294203253647e-20 0.11594135693095765 -0.20392572650844834 7.4625674501398881e-17 -0.97898636269547801 5000 4999.9999973114227 107.28244318427679 4501 1 1 0.019285950353339888 1.0000000002757206 0.79789609259487315 1 1 1 0 4 0 0 1 0 147201 458.73435637158775 5.0404488678232084
3 2373.6419420877087 -4.303367125059877e-18 14664.048924824323 2373.0217592199438 7.5727654993546603e-17 14663.373173378528 0.030384521683998723 -2.1844412553516867e-22 0.13550915544904105 0.73674993643721975 7.2485132024531281e-18 -0.67616531333495744 5000 5000.0000012938108 80.805390258554894 4276 1 1 0.019285950368477758 0.99999999979760856 0.84126680596310233 1 1 1 0 4 0 0 1 0 145710 -510.59590309654055 1.0738637378289104
4 12454.334630595336 2.8691210972737979e-15 14664.147539353868 12455.434192948962 2.7929828587437116e-15 14664.291178179526 0.061334319709854687 1.4051013204810412e-20 0.12459555219536352 -0.12953217207362383 -4.2807002684298723e-17 0.99157521996368025 5000 5000.0000098859318 49.658587421071921 4684 1 1 0.019285950401138223 1.0000000004481318 1.2296694817471374 1 1 1 0 4 0 0 1 0 129036 -18.279328076865145 3.3066478168850404
5 -5988.7637811184031 2.2132646029170241e-16 14664.566821795028 -5987.7607617226795 1.2685345126932865e-16 14665.105669347786 -0.058916152078738591 2.0431476712550235e-21 0.12575705697545625 -0.47325546125608425 -2.0626609740395523e-17 0.8809252342529621 5000 4999.9999977200096 112.21428301879935 4448 1 1 0.019285950354893201 0.99999999995234523 1.2964045933110413 1 1 1 0 4 0 0 1 0 123084 466.64153686012702 3.5177860103881247
6 4173.0816998504033 -1.159399464233036e-11 14672.505475505279 4172.6073368930602 -1.1594177001886157e-11 14671.69868390527 0.12331240954891616 -3.4258724673885372e-16 0.64022867084318635 0.86200347884801654 -2.0149464191239523e-17 -0.50682554924047851 5000 162944.6891010715 74.12344908764301 1985 1 1 0.42509870131839267 0.99992213490899562 0.8759329011445659 1 1 1 0 4 0 0 1 0 41102 221.00041187422423 0.20775303428656389
7 -8575.5993005584733 6.7302725601246709e-16 14665.28109485628 -8574.474028008608 6.067754946915182e-16 14665.235957131174 -0.045793664678891038 3.5237709324951182e-21 0.13110640956315375 0.040080471832969561 -5.840554231935885e-17 0.99919645503545496 5000 4999.9999972914529 120.3171829559474 4465 1 1 0.019285950353264126 0.99999999997777345 1.2682757257080532 1 1 1 0 4 0 0 1 0 147440 82.194059128638344 5.1821672797145419
8 10375.678604600251 -3.1240087847483146e-16 14667.246985982038 10375.602019499394 -2.4333389976888697e-16 14666.218625618956 0.058482168068398691 -1.833993157544867e-21 0.12595946327308569 0.99723836681414479 -4.4916629922737701e-17 -0.074267352050828267 5000 5000.0000017005814 54.724234466185031 4587 1 1 0.019285950370024254 0.99999999982678456 1.0633903140301888 1 1 1 0 4 0 0 1 0 149150 -197.05992772858247 2.6980445560853532
9 -142.97269835866871 1.9888062047603794e-17 14668.845514601873 -141.83678626415005 -5.3858169986725971e-17 14668.91403443007 0.0053682008818022615 7.4026066916740967e-22 0.13877007161758609 -0.060211971467062864 -4.9312217658713214e-17 0.99818561318496568 5000 4999.9999983945581 90.558426551622588 4272 1 1 0.019285950357457355 0.9999999998773963 1.2949912533299361 1 1 1 0 4 0 0 1 0 144875 211.2861642075701 5.2760841133798193
10 16354.937994188022 -3.7178365569681523e-15 14667.574991944144 16355.223190962215 -3.7913025388105794e-15 14668.46405827269 0.087488553927939222 -1.9963872373359103e-20 0.1078503746118558 -0.95220766760989195 5.0850258681437553e-17 0.30545139965375168 5000 5000.0000023044413 41.88666073157983 5106 1 1 0.01928595037231956 0.99999999980550647 0.87177613656394448 1 1 1 0 4 0 0 1 0 153155 -278.91836677681528 5.2606011864290769
11 -4881.8889680764769 1.4832966001401322e-16 14668.205739609797 -4881.7216079957798 7.4925866447268409e-17 14669.235935221808 -0.039512802776298699 1.0923539895767953e-21 0.13313410071371301 -0.98705981840094048 5.6423235730079179e-17 0.16035247012449008 5000 4999.9999980343073 108.40853294353806 4347 1 1 0.019285950356087756 0.99999999977672305 1.0893123956178354 1 1 1 0 4 0 0 1 0 146389 387.82473781961335 3.901145656441765
12 5769.5979323413594 2.0064174023079289e-16 14667.110628547922 5770.0289598590571 2.3524849667101635e-16 14666.131213551604 0.031728515281142497 1.0278427400565132e-21 0.13520078286910292 0.9152857758006897 -7.0754617306690866e-17 0.40280510047720275 5000 5000.000001789992 68.526823749590818 4343 1 1 0.019285950370364006 1.0000000003535199 1.1450384560254967 1 1 1 0 4 0 0 1 0 146596 -87.453171672385579 2.8178815218028537
13 1498.309061117146 -1.293837929958278e-17 14664.016436668508 1499.3024531072788 -4.1210888920982207e-17 14663.49144328623 0.010053068092342771 -1.9128039249784984e-22 0.13850951660640479 0.46724802627425543 -7.421214908128317e-17 0.88412628165385243 5000 5000.0000013284171 84.165998170236051 4241 1 1 0.019285950368609205 0.9999999999682545 1.2624456974954932 1 1 1 0 4 0 0 1 0 144802 -334.93946174239869 1.4011490039021979
