# ELektron2 Java Simulation Results
# Date: 2026-03-07 21:06:46
# Integrator: DormandPrince853 (commons-math3)
# DP853 minStep: 1.0E-10  maxStep: 10.0  absTol: 1.0E-12  relTol: 1.0E-12
# Java: 25.0.2  OS: Windows 11 amd64
# Cores: 24
# Total time: 39738 ms
# Total simulations: 24
# startEnergy: 5000.0 eV
# startPos: -14663.993697025551 (reduced)
# detectionDistance: 14663.993697025551 (reduced)
# rangeMin: 1.0E-12 m
# rangeMax: 1.0E-10 m
# spin: 1
# Z: 6.0
# alpha: 0.0072992700729927
# reducedBohr: 274.49813790303745
# zitterRadius: 1.93079634E-13 m
# atomCount: 30
# atomSpacing: 735.4478411741759 (reduced) = 1.42E-10 m
# chainHalfLength: 10663.993697025551 (reduced)
# maxTime: 1000000.0 (reduced)
# Summary: isNaN=0 isPos=23 isNeg=1 is120L=0 is120R=0 isRenorm=0
#
# Columns:
# idx qx qy qz rx ry rz vx vy vz ux uy uz energyIn_eV energyOut_eV angle_deg steps apexCharge apexMass v2 u2 |q-r|2 minZdot2 maxZdot2 minXdot2 maxXdot2 minR maxR isNaN isPos isNeg elapsedMs dxZERO_reduced psi0
#
0 -3906.20555736146 -1.0028378845625037E-14 14663.993697025551 -3905.6147556828773 -1.0119425952336189E-14 14665.077824923212 -0.07068304486759466 -1.8259911417298214E-19 0.31243206504177234 -0.8780796465608376 2.8820303773897635E-17 0.4785145084895596 5000.0 28423.99388284647 104.91612156316522 845776 1.0 1.0 0.10260988809802066 1.0000000005394103 1.5243799219014984 1.0 1.0 1.0 0.0 4.0 0.0 0 1 0 10126 -215.84611063994964 1.7840959720512395
1 3918.6010170354098 3.97938642607492E-18 14663.993697025553 3917.85518333028 8.015466794963679E-17 14663.503267481135 0.027430407239578455 -6.326594129991136E-23 0.1361378827769121 0.5494206083181186 2.846909435485155E-17 -0.8355459272024941 5000.0 5000.000001249446 75.038664857596 1213844 1.0 1.0 0.01928595036830938 1.0000000013093269 0.7967890537453053 1.0 1.0 1.0 0.0 4.0 0.0 0 1 0 15868 -309.8094407729183 3.694495003523837
2 -560.2249126662313 8.827316087565408E-17 14663.993697025551 -559.6961832663416 -6.847749135425335E-19 14664.908374790513 -0.002592321146498435 4.867844401684267E-22 0.1388496677509755 -0.8657629977103333 3.045657777255533E-17 0.5004542251932668 5000.0 4999.999999979775 92.18787056815492 1197556 1.0 1.0 0.019285950363482865 0.9999999997181755 1.1161901920237964 1.0 1.0 1.0 0.0 4.0 0.0 0 1 0 15939 -412.3642597848216 2.531647133196084
3 -6721.369405506099 2.8337548174028613E-16 14663.993697025551 -6722.073835235704 3.5752149240723407E-16 14663.488565046538 -0.04002064575782172 1.6082108519240052E-21 0.13298232314410915 0.5827404634027047 1.9779493590350983E-17 -0.8126583235228101 5000.0 4999.999997926288 114.62476689105439 1238267 1.0 1.0 0.01928595035567732 0.9999999984777033 0.7513795601729463 1.0 1.0 1.0 0.0 4.0 0.0 0 1 0 15950 200.2713282216805 4.848385104431575
4 -3280.4345493078404 5.065758079784895E-16 14663.993697025551 -3279.30721872826 4.383496833169559E-16 14663.980654046942 -0.04703132939189391 7.127757935479691E-21 0.13066753388287328 0.011569014614711659 -5.693602378492019E-17 0.999933075924159 5000.0 4999.999997853558 102.60983732741698 1221806 1.0 1.0 0.01928595035540066 0.9999999984263055 1.2710443549478694 1.0 1.0 1.0 0.0 4.0 0.0 0 1 0 16013 502.9505832495041 1.1689009950404718
5 -3179.95981159017 1.0775835605823662E-16 14663.993697025553 -3180.605383540755 1.8400948526335806E-16 14663.397236416455 -0.022274148135680533 6.676887908843914E-22 0.13707593764534273 0.6786166962726966 1.0717135377825184E-17 -0.7344926002483284 5000.0 4999.999998147999 102.23542710841997 1208405 1.0 1.0 0.01928595035652013 1.00000000027962 0.7725284015884103 1.0 1.0 1.0 0.0 4.0 0.0 0 1 0 16121 310.8808408119124 2.5525836254827983
6 -5461.748883534287 1.9280308109753198E-16 14663.993697025553 -5462.3673794856395 1.8750559450983814E-16 14664.702085214907 -0.05458291105256637 1.790685775248743E-21 0.12769751828540288 -0.7532843768809571 9.085743832666648E-17 -0.6576949540934901 5000.0 4999.99999780681 110.42834214986202 1245656 1.0 1.0 0.019285950355223173 1.0000000050929698 0.8843510686552791 1.0 1.0 1.0 0.0 4.0 0.0 0 1 0 16283 466.9217169073401 2.9176244476564914
7 2768.5015278742308 6.436801017731906E-16 14663.993697143518 2768.0070981265744 7.233407645658906E-16 14663.201276645666 0.026170368187108918 5.868010111072362E-21 0.13638571109770842 0.8483989215793092 -8.612484435469617E-18 -0.5293574117808572 5000.0 4999.999999767596 79.30863503518164 1208492 1.0 1.0 0.019285950362676427 0.9999999995442628 0.8723910207830617 1.0 1.0 1.0 0.0 4.0 0.0 0 1 0 16410 431.21779372942086 0.37990219134414027
8 -1379.279610322954 7.988515814486895E-17 14663.993697025553 -1378.3536343762412 6.030472824489734E-17 14663.392759854321 -0.008615664288947328 4.417032532473825E-22 0.13860635153504464 0.5443850066293986 -7.709437603910144E-17 0.8388354812544113 5000.0 4999.999998273264 95.37337091714731 1199654 1.0 1.0 0.019285950356996213 1.0000000000542102 1.218556937658776 1.0 1.0 1.0 0.0 4.0 0.0 0 1 0 16608 313.2824975921029 5.005476873664709
9 5076.596520053142 3.290174915474992E-17 14663.993697025551 5076.657083838935 9.258069251683741E-17 14662.975269849947 0.030743883293074873 1.2018684748467874E-22 0.13542807688436168 0.9982364573119603 -5.4510333774997565E-17 0.05936308438093411 5000.0 5000.000001308787 70.90441905788913 1221068 1.0 1.0 0.019285950368534786 1.000000000493951 1.0408618841589865 1.0 1.0 1.0 0.0 4.0 0.0 0 1 0 16645 -203.03049647444445 5.098628761952053
10 3737.941716147437 1.8120632942353105E-15 14663.993697100594 3738.551861408813 1.831079338722333E-15 14663.0915677172 0.028157484264960512 1.3497600907862998E-20 0.13598936152746904 0.8283340049578359 -7.536571409014033E-17 0.560234571238008 5000.0 5000.000001373349 75.6994988613727 1213062 1.0 1.0 0.019285950368780176 0.9999999985797228 1.1861146643618923 1.0 1.0 1.0 0.0 4.0 0.0 0 1 0 16665 -318.22366628660325 1.1868866066591293
11 -3230.1601821076447 1.2051738836431374E-16 14663.993697025553 -3231.014499350227 1.7951039416785423E-16 14663.885344159362 -0.02102125709936912 7.043797773567203E-22 0.1372736577294797 0.12582184240073754 6.053803924463578E-17 -0.9920528540684329 5000.0 4999.9999981343835 102.42262908365674 1207937 1.0 1.0 0.01928595035646812 1.0000000012904395 0.7415982945856162 1.0 1.0 1.0 0.0 4.0 0.0 0 1 0 16682 262.8156546925627 3.194888087459363
12 1743.342055861431 1.708073584300663E-16 14663.993697025553 1742.486846919335 2.3039597071714664E-16 14663.876706804287 0.008552681325995256 7.388987186265024E-22 0.13861025221043818 0.1355349502023038 6.226030243509818E-17 -0.9907725656430219 5000.0 5000.00000319514 83.22016205944914 1200103 1.0 1.0 0.019285950375705314 0.999999999557197 0.7450690465127162 1.0 1.0 1.0 0.0 4.0 0.0 0 1 0 16713 -41.264045299347515 1.6003130016875713
13 -900.3780194919169 -2.957267542541492E-17 14663.993697025551 -901.2375114817833 2.6332115028995494E-17 14663.940429038365 -0.006246498198209818 -1.9089995070095848E-22 0.13873331115302961 0.06185744441263935 6.61369833062768E-17 -0.9980849945273428 5000.0 4999.999999911469 93.51358425775796 1198512 1.0 1.0 0.019285950363223572 0.9999999997299087 0.7415639591033266 1.0 1.0 1.0 0.0 4.0 0.0 0 1 0 16750 -414.6567700140534 1.3570944351752376
14 11054.61889103317 -1.4194193738805585E-15 14663.993697025551 11055.647659099663 -1.4516130266141885E-15 14663.51164576365 0.07980968883743243 -1.0366731902640958E-20 0.11365018228408917 0.42430125544503083 -7.101074822298854E-17 0.9055210902448793 5000.0 5000.000000519527 52.988769584733504 1339367 1.0 1.0 0.019285950365534484 1.000000000250504 1.2907371537364651 1.0 1.0 1.0 0.0 4.0 0.0 0 1 0 17215 244.50009024992576 3.9482101849842146
15 1343.4083775550287 1.0720491047629533E-15 14663.99369710753 1344.2495102987418 9.773510474193354E-16 14664.690245520349 0.007540455608832931 5.688409510680635E-21 0.13866900118994016 -0.6378060197808477 4.444407021944489E-20 0.7701970418259015 5000.0 4999.9999995381695 84.76558899669246 1198346 1.0 1.0 0.019285950361804406 1.0000000021060567 1.1926839839478474 1.0 1.0 1.0 0.0 4.0 0.0 0 1 0 17275 107.71826865703865 3.7185927327855133
16 -5848.805735877495 4.0287369646214975E-16 14663.993697025551 -5849.608771352263 4.713460256540746E-16 14663.679984851566 -0.03214593303237692 2.144007425862169E-21 0.13510214411235694 0.3638771362994569 4.123495639331115E-17 -0.9314469551444421 5000.0 4999.999997558209 111.74482732484817 1225916 1.0 1.0 0.019285950354278124 1.000000000569346 0.7432813018425538 1.0 1.0 1.0 0.0 4.0 0.0 0 1 0 17285 87.10145876551279 5.003786716011093
17 -9808.416467738693 4.355802471313063E-16 14663.993697025551 -9808.054290118504 4.682895603411364E-16 14663.092617212898 -0.06080590784031494 2.6160727322936375E-21 0.12485428277099074 0.927855546476192 -7.585450221104855E-17 0.37293978821947077 5000.0 4999.99999762799 123.77767642695268 1294555 1.0 1.0 0.01928595035454339 1.0000000007638166 0.9431174573361868 1.0 1.0 1.0 0.0 4.0 0.0 0 1 0 17450 280.47966807398615 2.3048548660227346
18 2307.9242487103734 -6.5780001309670696E-18 14663.993697025553 2307.902078751899 5.646895289759191E-17 14662.99979896047 0.01658934319612458 -1.4791633735524123E-22 0.13787945481690714 0.9997513121430743 -5.025452453908019E-17 -0.022300522354175137 5000.0 5000.000001243432 81.05575049258253 1203520 1.0 1.0 0.019285950368286342 0.9999999994290679 0.9883248708329979 1.0 1.0 1.0 0.0 4.0 0.0 0 1 0 17453 -333.97114235804077 1.145917489976495
19 2088.5106155158674 -7.997886421706282E-18 14663.993697025553 2087.6753174515297 2.992047132656792E-17 14664.206783544092 0.01623235178367593 -1.711022676903298E-22 0.13792193851564483 -0.24718604534989558 8.482570859633524E-17 -0.9689680384886519 5000.0 5000.000001258182 81.8941971416862 1202890 1.0 1.0 0.019285950368342318 1.000000000628266 0.7431287206692732 1.0 1.0 1.0 0.0 4.0 0.0 0 1 0 17584 -373.78052262705455 6.256809104810188
