# ELektron2 C++ Simulation Results
# Date: 2026-03-08 23:20:56
# Integrator: DP853 (self-contained)
# DP853 absTol: 9.9999999999999998e-13  relTol: 9.9999999999999998e-13  minStep: 1e-10  maxStep: 10
# Cores: 24
# Total time: 20049 ms
# Total simulations: 24
# startEnergy: 5000 eV
# startPos: -14663.993697025551 (reduced)
# detectionDistance: 14663.993697025551 (reduced)
# rangeMin: 1e-13 m
# rangeMax: 9.9999999999999998e-13 m
# spin: 1
# Z: 6
# alpha: 0.0072992700729926996
# reducedBohr: 274.49813790303745
# zitterRadius: 1.93079634e-13 m
# atomCount: 30
# atomSpacing: 735.44784117417589 (reduced) = 1.42e-10 m
# chainHalfLength: 10663.993697025551 (reduced)
# maxTime: 1000000 (reduced)
#
# Columns:
# idx qx qy qz rx ry rz vx vy vz ux uy uz energyIn_eV energyOut_eV angle_deg steps elapsedMs dxZERO_reduced psi0
#
0 -4933.3724548157234 -1.047668115787487e-12 14664.034522895159 -4932.3372147128575 -1.0476581465848141e-12 14663.298262580343 -0.068337119810527716 -1.4509843704690946e-17 0.35127806021342922 0.57957061553726019 -7.8816440077313883e-17 0.81492202119025958 5000 36241.661623880856 108.59431267611578 631373 4046 2.8849918029923951 3.4032479613411284
1 -63638.74970509288 2.220707151009126e-11 14664.008305343677 -63639.575568323242 2.2206944198025084e-11 14664.877076156787 -0.34252565991410006 1.1952822203368972e-16 0.13632720301494686 -0.72477820986524977 2.8783963399136656e-16 -0.68898225195931684 5000 38719.499832542839 167.02406812358998 1289218 6855 -1.5652155682223357 5.6012839395062954
2 -14171.115963072654 -1.2240979384134937e-13 14664.016599450428 -14171.953830040637 -1.2238054057602054e-13 14664.237242676529 -0.087896710568023576 -7.5972904691556831e-19 0.15711769671963013 -0.25465727729108001 6.9610645683457803e-17 -0.96703136942725598 5000 8488.118443922649 134.02069546748515 1140016 6215 1.1193728383501467 0.25022651352185776
3 54677.380855389645 2.4969323093706324e-11 14666.159014613357 54683.459004784061 2.4999455014752501e-11 14649.384668452945 0.85327482891246131 3.8963210623648933e-16 0.39529108031386651 0.94018186890286615 5.2445478121715094e-16 0.34067294204563481 5000 991505.64183731005 15.015054404337896 205340 1280 -2.2660115517415993 0.034202674787415802
4 -60596.724648201598 -1.0373658736237321e-12 14663.999825950312 -60597.67672762763 -1.037319568508141e-12 14664.104797212125 -0.086061623835909998 -1.4733596909972722e-18 0.035966678901199568 -0.10959063958875921 5.9974171320682817e-17 -0.99397681067557331 5000 2237.5131491988718 166.39632945595443 3817552 14194 2.6724950065562423 3.2611760542303747
5 -28289.609980240719 -1.3166239316092706e-12 -14663.995299837947 -28289.817140387495 -1.3167356783053675e-12 -14662.682596628032 -0.26955887243547777 -1.2544513977246285e-17 -0.03813022910668077 -0.98777557241904701 2.5444477655131498e-17 -0.1558827077608532 5000 20058.772252565799 207.40008668765901 836092 5335 3.5441936428437466 3.9253888380008064
6 -4426.3589233174825 2.1454128163490752e-13 14664.02211400325 -4426.4465901445847 2.1448388238902019e-13 14665.033268867332 -0.056250222435564788 2.7261574435201027e-18 0.32268349935073715 -0.99626263712684393 7.0593459161751186e-17 -0.086375675211838143 5000 29835.74948784017 106.79652518106541 661715 4620 -1.383967147569894 1.1155792170561258
7 22975.692212465136 7.8204041733220868e-12 -14664.043183665952 22976.847794542977 7.817898215516797e-12 -14667.552005946683 0.76601557044734303 2.6077149387833556e-16 -0.13337500631215346 0.94981611651085329 5.8364327882315191e-16 0.31280879944029327 5000 301616.06602004083 327.45228628766716 245754 2230 -3.9256516787133697 2.812473497899497
8 -5870.2858140832795 4.5971806266985742e-12 -14664.000015322375 -5871.6391908904552 4.5970572977372707e-12 -14664.215353606507 -0.44902033391479046 3.5169079801827427e-16 -0.30596091311080614 0.15713521663750785 6.5259898559890209e-16 -0.98757709774235247 5000 97692.02065035484 248.18280899424258 232360 2060 -0.52259158458031862 3.6384413612532365
9 -14926.666519197579 -7.2328104751479232e-12 14664.061041725532 -14925.378671245733 -7.232771856823763e-12 14665.915506800529 -0.29761393808100489 -1.4421284133363845e-16 0.50499637498269268 -0.82136478150217251 -1.8106959813063363e-16 0.57040327472086061 5000 119717.80401216727 135.5084630149735 413350 3255 0.70480979506574082 4.6739930649744617
