# ELektron2 C++ Simulation Results
# Date: 2026-03-09 11:04:03
# Integrator: DP853 (self-contained)
# DP853 absTol: 9.9999999999999998e-13  relTol: 9.9999999999999998e-13  minStep: 1e-10  maxStep: 10
# Cores: 24
# Total time: 450289 ms
# Total simulations: 2400
# Detected: 80
# Detector: 1 m, 100 mm x 100 mm aperture
# startEnergy: 5000 eV
# startPos: -14663.993697025551 (reduced)
# detectionDistance: 14663.993697025551 (reduced)
# rangeMin: 9.9999999999999998e-13 m
# rangeMax: 1e-10 m
# spin: 1
# Z: 6
# alpha: 0.0072992700729926996
# reducedBohr: 274.49813790303745
# zitterRadius: 1.93079634e-13 m
# atomCount: 30
# atomSpacing: 735.44784117417589 (reduced) = 1.42e-10 m
# chainHalfLength: 10663.993697025551 (reduced)
# maxTime: 1000000 (reduced)
#
# Columns:
# idx qx qy qz rx ry rz vx vy vz ux uy uz energyIn_eV energyOut_eV angle_deg steps elapsedMs dxZERO_reduced psi0 xDet_mm yDet_mm
#
0 770.52032746361181 -9.7263407040483886e-18 14664.009976220736 770.2341093301369 -4.7438827792219084e-17 14664.901925608232 0.0047562084744687391 -1.8012802783257012e-22 0.13879239478485175 -0.95217769344997749 8.6099062262340546e-17 -0.30554482773018904 5000 5000.000001475014 86.992159722229133 1198407 10419 -427.17222640989314 4.7463105219427701 34.268509321721474 -1.297823473049763e-18
1 -407.54210632187801 4.2660314965342849e-17 14663.999360185255 -408.38789732464699 8.3791727937776103e-17 14664.171337743093 0.00093063283495823344 2.8676980500127284e-23 0.13887074666835475 -0.19925604572058694 8.149101092530046e-17 -0.97994746106888408 5000 4999.9999984583255 91.591955437707966 1197843 9593 375.08761171320469 5.4596161772516458 6.7014317794425882 2.065012336155464e-19
2 -128.16664274713108 2.1190207546587782e-17 14663.999415501701 -127.10246535272147 -6.6800048171501563e-17 14664.3679937713 0.005884746472590228 3.5648226482529515e-22 0.13874912656502275 -0.32727641795854701 -2.9594644296756806e-17 0.94492864608101568 5000 5000.0000000114314 90.500765208243394 1197469 10597 -271.94950714447606 5.036077089495187 42.412854179895881 2.5692577218367926e-18
3 -377.23869197117375 4.0180313459600412e-17 14664.005715179635 -377.85198907094832 3.7409777234586094e-17 14664.65612824709 0.0024491103154511756 7.3776302659071029e-23 0.13885226763296735 -0.72756121418930764 9.5781792731644812e-17 -0.68604276893410399 5000 5000.0000012087121 91.473636817724653 1197390 10331 -51.457942090080564 2.3125258254505332 17.638245000974614 5.3132947640499686e-19
4 -32.064896060763758 1.4462429402105454e-14 14664.071564721748 -30.931523654138307 1.4607104599565301e-14 14662.906283431936 -0.013459103952131041 6.8579206170717927e-18 0.5697125799883086 0.7168534568537549 2.1917767801842361e-17 0.69722386768543765 5000 110855.88998959435 90.12528445995612 675248 5908 211.32956248323063 0.77276300434233369 -23.624375562160207 1.2037509540710034e-14
5 -1158.6285089727728 9.0447941762977409e-17 14664.015054733389 -1157.9695932615216 -2.5110970794960059e-18 14664.866557091735 -0.0053087153871612522 3.8676838977065418e-22 0.13877235999210674 -0.79086392196989452 1.8845762617847449e-17 0.6119920381588958 5000 4999.9999982324171 94.517650568396476 1198760 10709 176.59560763261683 3.9914135006889091 -38.254846912333313 2.7870707811890873e-18
6 -739.31275650444923 5.4737980865375862e-17 14664.015320254208 -738.6476335920562 -3.8296166221416323e-17 14664.861666104573 -0.0039943169175386496 2.758122180833357e-22 0.13881641037676093 -0.78625655577938913 1.8271845093997011e-17 0.61790017745032477 5000 4999.999998412939 92.886226169790419 1198369 10661 410.50968278528416 4.9008730001989136 -28.774097433420831 1.9868848166780508e-18
7 919.4626187524259 1.2299584610533589e-16 14664.015783868401 919.1747211787125 8.5218269211673201e-17 14664.907264041542 0.0044173649332716379 3.0004702653809605e-22 0.13880359235339415 -0.95160772661751014 8.6106707692815844e-17 -0.30731536725147757 5000 4999.9999998950161 86.412138998509562 1198228 9680 296.23386691131185 4.5064436895661117 31.824572104913685 2.1616661460329923e-18
8 271.57356023854783 -5.6800242108582946e-17 14664.021646387824 272.61960694656472 -1.4674693662557212e-16 14664.44092292493 -0.0023465812302120477 1.8910788395353683e-22 0.13885403818455563 -0.37204680989178107 -2.6258264287733719e-17 0.92821396792050259 5000 5000.0000000178989 88.939019551038925 1197200 11511 394.95142593577168 4.5131902592839648 -16.899625397232786 1.3619185039630398e-18
9 -1004.0191054112636 1.5062567971274346e-16 14664.002870110513 -1002.9111811757598 6.7451424724668642e-17 14664.251121681575 -0.0035030288342496768 5.2219181576842484e-22 0.1388296767237473 -0.21864749084127355 -3.8577132595702979e-17 0.97580391148071044 5000 4999.9999964942499 93.916830728478217 1198478 10925 42.113721553501222 3.2775973503064924 -25.232564945175525 3.7613846555842489e-18
10 -173.25712894297928 2.9580109666262444e-17 14663.997344246129 -174.08745145302839 9.5789088708507904e-17 14663.748993691506 0.0048113786501584243 -2.3527103807897928e-22 0.13879049316587416 0.28655788253716197 5.068657646330602e-17 -0.95806293016563393 5000 4999.999998469445 90.676925952810493 1197740 10474 355.92040024010817 5.78590643687106 34.666485725417445 -1.6951524035424911e-18
11 -478.97455498802458 4.2865531962019737e-17 14663.999394340315 -478.95223212412742 -1.9438130412789325e-17 14664.98466537405 -0.0017356333315961064 1.8947101585242145e-22 0.13886301859984357 -0.99974343798486631 6.8279833577967558e-17 0.022650758427708806 5000 4999.9999984642254 91.870803889108544 1198046 10322 472.74699051758159 4.3464222207480878 -12.498888106397981 1.3644454640469329e-18
12 370.33962879135811 -3.3810711878730158e-18 14664.016058636153 371.29083399351072 -9.7383162988949525e-17 14664.594324312951 -0.00064966153679062221 -6.4535453111787224e-23 0.13887234537273865 -0.51946916525373477 -1.2505221804535084e-17 0.85448919649636057 5000 5000.0000015462692 88.553302989071682 1197791 9824 -443.205475579687 5.7882142229262481 -4.6781202913143431 -4.6471061562740668e-19
13 -496.56222094760182 7.339512827563539e-17 14664.016496929884 -497.18026049205412 7.1186103695252625e-17 14664.662894848412 0.00088031404467621465 6.904596891342709e-23 0.13887107478442262 -0.72278377464339483 9.5688530226804821e-17 -0.69107424673103468 5000 5000.0000002730812 91.939444921297792 1197369 10223 -103.83138686797794 2.7827577417739331 6.3390741811624602 4.9719474714666844e-19
14 -1053.1100001644727 -2.1294285213506537e-16 14664.001812282097 -1053.9254022425864 -1.8174360185287155e-16 14664.303403523585 -0.0059943706584830682 -1.1349608693607371e-21 0.1387444336807962 -0.34690009326116017 8.7509161022968377e-17 -0.93790208828195964 5000 4999.9999982732643 94.10770169137696 1198142 10125 269.02616532046505 2.7940997410897523 -43.204404670201605 -8.1802263287325559e-18
15 1062.122847453491 -6.810981178360377e-18 14664.01126222622 1061.2624990830698 4.3582014139645708e-17 14664.047972524202 0.0045470290644676059 -1.1939025140914801e-22 0.1387994052430811 -0.042630319079749825 7.33564751845664e-17 -0.99909091500115976 5000 5000.000001469567 85.857267843905987 1198497 10842 -176.82211879561629 5.8739022789604265 32.759715767544812 -8.6016399854205717e-19
16 410.87966653504691 -4.5177852208641387e-18 14664.005030636095 410.14237441789129 1.1063675501331105e-17 14664.482792504756 -0.00048017001967647619 -6.385498950043848e-23 0.13887303484172261 -0.54380515962091569 9.3766292056645696e-17 -0.83921150283239665 5000 5000.000001535831 88.395014677861468 1197799 10249 -410.8132881897775 5.289405861606145 -3.4576188258846585 -4.59808411137668e-19
17 524.18543303524825 6.7944586632316878e-17 14663.996396469736 524.71688500890912 9.212372232697925e-17 14663.083825020578 0.0016766851531352044 -2.2942031949371285e-22 0.13886374289358547 0.86414192159695258 -7.5301903941666959e-17 0.50324818946120364 5000 4999.9999999890788 87.952752469586997 1197786 9567 430.84354936024187 5.8478564436680838 12.074319172140473 -1.6521254195886324e-18
18 1056.3601321108472 3.9992020327818526e-16 14664.008858037731 1057.4987505089757 3.2984133013402827e-16 14664.016408572714 0.0060338889757190917 2.037871378570478e-21 0.13874272072081745 -0.0066311676699335196 -5.2703592293278148e-17 0.99997801354785809 5000 5000.0000014801199 85.879666594893905 1198306 11762 -295.51610268266359 3.8117198545060376 43.489769728969613 1.4688131874472522e-17
19 246.63330962843125 -2.0863211394585965e-19 14663.996095010534 245.78339579138549 6.0838346555359251e-17 14663.850284433833 -0.0025541203756941767 -6.4927067587506551e-24 0.13885037572371006 0.16908893029434555 5.9021079915060103e-17 -0.98560079899725028 5000 5000.0000015649912 89.036434856459678 1197712 8691 -458.42455246215638 1.5834304119337044 -18.394767478169925 -4.6760455093546868e-20
20 -492.92113804323787 4.5647677692521416e-17 14664.004397011555 -493.5313359059362 1.2354596858337753e-16 14663.348972813892 -0.00072235559450842875 1.269450861937735e-22 0.13887198623219235 0.73190771050066761 5.8965107437859153e-18 -0.68140377365689053 5000 4999.9999984528786 91.925236112475801 1197969 8793 410.63665308686956 1.2324097276604939 -5.2015933098318223 9.1411586769935576e-19
21 864.65602758110754 -1.039155302194062e-17 14664.00275125953 864.30461940141106 6.474564603747954e-17 14663.136577799589 0.0032521063163769076 -1.2850662052493395e-22 0.13883578131603122 0.92664359161630461 -2.4657335232846328e-17 -0.37594102499486304 5000 5000.0000014642346 86.625488532261969 1198213 7601 -238.95703109200804 0.056995838771291253 23.424122265528609 -9.2560159424907148e-19
