# ELektron2 Java Simulation Results
# Date: 2026-03-09 12:34:42
# Integrator: DormandPrince853 (commons-math3)
# DP853 minStep: 1.0E-10  maxStep: 10.0  absTol: 1.0E-12  relTol: 1.0E-12
# Java: 25.0.2  OS: Windows 11 amd64
# Cores: 24
# Total time: 145277 ms
# Total simulations: 240
# startEnergy: 5000.0 eV
# startPos: -14663.993697025551 (reduced)
# detectionDistance: 14663.993697025551 (reduced)
# rangeMin: 1.0E-12 m
# rangeMax: 1.0E-10 m
# spin: 1
# Z: 6.0
# atomCount: 30
# atomSpacing: 735.4478411741759 (reduced) = 1.42E-10 m
# chainHalfLength: 10663.993697025551 (reduced)
#
# Columns:
# idx qx qy qz rx ry rz vx vy vz ux uy uz energyIn_eV energyOut_eV angle_deg steps elapsedMs dxZERO_reduced psi0
#
0 -2744.9813790303742 1.4294071143272963E-16 -8505.807939398548 -2745.2030691598184 9.257900504293935E-17 -8504.753977634813 -0.10937842714455391 5.31399578233698E-21 0.08557050061870823 -0.9785865601910909 7.130017009169532E-17 -0.20583572237970313 5000.0 5000.0001413212785 252.11415085409237 306258 5588 9.196574976073912 5.978362738015842
1 -2744.9813790303747 5.997758494801979E-16 -7794.737001638653 -2745.743356479894 6.111904049793669E-16 -7794.1518233240595 -0.09624626475916402 2.0639482509962077E-20 0.10011297348097606 -0.6090839956171927 8.587049429340195E-17 -0.793105721155429 5000.0 5000.000151460379 250.59986156337385 326225 6682 10.997593953153352 6.073660911196477
2 2744.9813790303742 -4.879468730041527E-17 -4472.2849562868805 2746.026865856644 -8.443210520011016E-17 -4472.735731771518 0.06272731904546158 -1.4345271804930514E-21 0.12390009881290841 0.3959290530532786 -7.019754211608498E-17 0.9182811036145347 5000.0 5000.0001780797875 301.54060552567347 442609 10380 -78.51665253538589 6.22136864714122
3 2744.9813790303742 5.658466685346323E-16 -2317.409045095247 2745.997231187354 4.778932254728696E-16 -2316.9957685187665 0.04351510854069392 8.728818612971354E-21 0.13188019708714752 -0.37683613619857814 -2.3941087997015735E-17 0.9262799396336061 5000.0 5000.000181913649 319.8277756379349 522094 12221 -24.384281852465627 0.706628195189413
4 -2744.9813790303742 1.9701054322017611E-16 -3885.5527097957447 -2744.941298480314 1.304004565943321E-16 -3884.5003408099265 -0.06412264899363142 4.28936869386877E-21 0.12318375261440376 -0.9992755153442777 6.265097530260112E-17 0.038058430645662375 5000.0 5000.000173251633 234.76038394398765 468611 12604 123.65561716407545 0.6515421836615695
5 2744.9813790303742 1.4045934177289771E-15 -3279.1655659212556 2744.1037007582354 1.470086336232343E-15 -3279.3605807949098 0.08288767586452583 4.1775886554669914E-20 0.11142524054199018 0.21690423362299277 6.111563789044203E-17 -0.9761928874850132 5000.0 5000.000177970067 309.9326176975422 501646 12642 -183.47691758565705 2.5677155346456035
6 2744.9813790303742 6.099626259029938E-16 -3538.850859617776 2744.900618918716 6.786491789573108E-16 -3539.8689342787425 0.050112851065026325 1.0853995266084445E-20 0.1295169997245503 0.9968684392119865 -4.4793297649579646E-17 -0.0790779010543598 5000.0 5000.000183087329 307.79966919478306 475084 13606 -21.805522127864695 2.500556963932904
7 2744.9813790303742 -1.9476415180567163E-13 -9586.255189574022 2744.8765138876565 -1.9468674191248692E-13 -9587.33748367919 0.08812732970184599 -6.255706847245189E-18 -0.10740205135719992 0.9953388085651613 -2.7402609643461785E-17 -0.09643991039017283 5000.0 5004.124126425124 285.97882863283536 520510 13610 -251.049610352332 5.912871149104719
8 2744.981379030375 -9.081969567567542E-15 482.56973346917266 2746.0031403925796 -9.113285255550823E-15 482.16043862652026 0.12041275389812925 -3.9992373106515147E-19 0.0691861238441894 0.3718529575288489 -7.150058929404938E-17 0.9282916451352875 5000.0 5000.00017635274 9.970754683217505 683758 16332 399.25226348111073 6.277056906187758
9 2744.9813790303742 -1.612441890754656E-16 1762.6823383430835 2745.530280111341 -2.4668548864069434E-16 1763.5094430204958 0.06646574648996667 -4.2173672120578054E-21 0.12193545662248086 -0.8332117779348222 2.8001724288126437E-17 0.5529540061715524 5000.0 5000.000177480352 32.706438311623174 699199 16684 -347.05437746583056 1.3151859622870006
10 2744.9813790303747 -2.8061253246518616E-16 277.05887462172626 2745.8662639679683 -3.6936983808164347E-16 277.61087500060904 0.0748199089018098 -8.01099633847255E-21 0.11699543696590022 -0.529272910634527 -9.064390220665563E-18 0.8484516400665207 5000.0 5000.000177668704 5.763509081711217 642684 17927 -325.67453012939967 2.832098632398708
11 2744.9813790303747 -1.5421148916018112E-16 -7703.488129589436 2745.937349125213 -2.3786435023356716E-16 -7703.08054180355 0.09468939567738807 -5.988128279064933E-21 0.10158675829387159 -0.3922003266213063 -2.2740189253189273E-17 0.9198798309008807 5000.0 5000.000197527879 289.612491811255 328872 5361 -11.726495631153984 3.372096344428724
12 -2744.9813790303747 1.8901344390190792E-16 4074.422790827494 -2744.394362858784 2.0569082255224916E-16 4073.5667980376447 -0.026620798573862594 1.7119213396248533E-21 0.13629851102103538 0.8247065227327945 -7.854557651389698E-17 0.5655609172750103 5000.0 5000.0001735500455 123.9685624523231 776070 11623 89.50881764914281 0.5638085698240841
13 -2744.9813790303742 -2.7796978205589476E-15 1549.4924602562476 -2745.1822885685074 -2.712965137809945E-15 1548.6049518628438 -0.05042476558724995 -5.124419423733052E-20 0.12939588107443617 0.9753217618808184 -4.142066826533756E-17 -0.2207882731595354 5000.0 5000.000173628337 150.55605605390753 683731 19647 244.21654519394386 2.519599985858
14 2744.9813790303742 -4.931681112115728E-16 9751.858025179095 2745.894479910185 -5.08341169304735E-16 9751.204732345022 0.027001677294722276 -5.012361231107214E-21 0.13622356776034927 0.5818737433403797 -7.611975803795066E-17 0.8132791306665779 5000.0 5000.000164822674 74.27899635215816 1007652 14455 268.4549477402758 0.5210025577209483
15 -2744.981379030376 7.5714642831238E-13 8683.99808345155 -2743.596821983837 7.571331699498433E-13 8683.643783954458 -0.14148718235547997 3.902876626557807E-17 0.3527692678361483 0.2479058087446044 -1.3983728921736447E-17 0.968784139962936 5000.0 41461.4175546046 107.54156296639374 773115 11062 356.866288308629 2.477805703738783
16 2744.9813791158726 -2.530774835937985E-14 4507.529016117637 2745.18382626098 -2.5242032171745364E-14 4506.408298933616 0.13699665210284034 -1.2653686052674558E-18 0.022756559138264368 0.9840732048958565 -5.635856045710012E-17 0.17776368029749895 5000.0 4999.998239416587 58.65954762825429 877262 21826 -489.2890980188363 3.4716747053428567
17 2744.9813790303747 5.993191203888702E-16 6611.637747340861 2746.095221316953 5.461698318522703E-16 6611.400284482479 0.028803768841497573 6.0570475667175654E-21 0.13585394337559023 0.2085067578463919 -6.358063104513265E-17 0.978020925766679 5000.0 5000.000175368205 67.45303621845696 880402 24417 246.21880158891165 0.3699286556068574
18 2744.9813790303747 2.4375063887904383E-17 6613.662882583331 2744.1836380917825 5.2702564228101273E-17 6613.992870916155 0.026057000341511854 1.0525270124892773E-22 0.1364074183070466 -0.3822416490903159 9.094597320806948E-17 -0.9240624012002359 5000.0 5000.000176898959 67.45924948464591 879522 25321 -204.51459631427306 6.073541332830927
19 -2744.981379030375 1.0659332248448141E-16 7610.894388403913 -2743.9441384202487 6.094374887166516E-17 7610.595436533932 -0.07506464930698105 2.5441903474718456E-21 0.11683856147066228 0.27694499704607645 -7.296934017858943E-17 0.9608857727718796 5000.0 5000.000173248116 109.83258716182107 943983 25928 493.8907691291597 5.796711304595947
20 -2744.9813790303747 6.640834193707698E-16 1978.2172415942184 -2744.0641043789633 6.414890704530389E-16 1977.6667690267523 -0.0524717940780801 1.2463610897511703E-20 0.12857939903388677 0.5145698311654949 -7.937172195226642E-17 0.857448475934914 5000.0 5000.000175240784 144.22095540677137 702190 12409 -269.99706842612 3.162620599095948
21 -2744.981379088074 1.112256969555349E-16 9159.847332341942 -2743.9295702670925 6.406234707393452E-17 9159.560324212587 -0.06603051836220929 2.3473490431855563E-21 0.12217168926817124 0.2632464658222471 -7.15575324955314E-17 0.9647286147894251 5000.0 5000.000171066528 106.68218280569049 1002727 15026 507.476658085359 1.456831302695932
22 2744.9813790303747 -3.1846192139191043E-17 9795.869721436906 2746.07953307703 -1.1142375716462716E-16 9796.067189233252 0.0455856186233086 -7.365769542906458E-22 0.13117889451921205 -0.1769794308274998 -3.9610581062470646E-17 0.9842145499865125 5000.0 5000.000165471239 74.34615899550973 1017944 27588 -467.813071526538 1.8454501164527204
23 -2744.981379030375 -5.8733731090340205E-15 10384.887338350873 -2744.107017645244 -5.891643312628973E-15 10384.311384043525 -0.0683853681299194 -1.4650884757632735E-19 0.12086931915909126 0.5500940554436339 -8.183378957228725E-17 0.8351027053880333 5000.0 5000.000138031254 104.8060636310659 1051872 28015 -141.89730236676036 5.241266380897489
24 564.5815163425816 -5.385293219575896E-18 14663.993697025551 564.506787152001 -6.046877850191194E-17 14664.957219561802 0.004072955702105382 -1.8737280699852105E-22 0.1388141253662648 -0.9970058543663459 7.466855850706375E-17 -0.0773261004237275 5000.0 5000.000001523804 87.79513212668527 1198205 28880 -500.3445504419891 1.138081256372792
25 2744.9813791521533 -2.6154271738920174E-14 -5372.656599186513 2743.998039122622 -2.6093275789765586E-14 -5372.779882579114 0.1387028285196354 -1.3235323187645875E-18 0.0068905308992209145 0.12439824432975992 6.658585572155796E-17 -0.9922323704375358 5000.0 5000.000971231142 297.0632596034734 485350 7619 -277.26796036270775 1.2607165038668569
26 2744.9813790303747 -2.5897843910615053E-17 11769.674519634591 2744.885374318575 -7.761085068184853E-17 11770.597757200969 0.04313641208567272 -6.034776285210351E-22 0.13200454704743972 -0.9946368071144418 7.824352396889739E-17 -0.10342930500976057 5000.0 5000.000032953892 76.87186882341159 1097539 30090 -495.91838027417214 1.6835055000548473
27 -2744.9813790303742 3.501195492223286E-16 12918.965045304094 -2745.837943134424 4.0803030371448937E-16 12918.87647613646 -0.01561693783541315 1.9300746810687727E-21 0.13799297666776245 0.10285214349666875 6.2587466218333E-17 -0.9946966561870847 5000.0 4999.9999982702 101.99563182850996 1132977 30590 38.44289710005756 3.971898446759483
28 1726.7836805278223 -4.161853462729797E-12 14663.993697355081 1729.3036775078913 -4.161933364965698E-12 14663.67683041359 0.07085212773012818 -1.7058124513288022E-16 0.6174563869013268 0.12475860167785693 -7.071941845263257E-17 0.9921871249352807 5000.0 141278.52098148828 83.28396638499953 683245 12833 -400.243103017092 1.7887263196347019
29 -2744.9813790303742 1.2896128655722463E-16 2534.8046024272585 -2744.0435214798163 1.0539058243266019E-16 2534.252274750825 -0.03374899586212843 1.4251945325792182E-21 0.1347106391598951 0.5074615294618527 -7.778805504348748E-17 0.8616744149459281 5000.0 5000.000173894185 137.27961651678177 716120 13167 168.61433494786095 4.125695767851983
30 2744.9813790303747 -1.2120010337621915E-17 8340.840203579306 2744.186628207453 6.158372983386787E-17 8340.438642748626 0.03898700939825327 -3.5082733322692286E-22 0.13328902480555638 0.450969966846267 3.8709457108436666E-17 -0.8925391244399311 5000.0 5000.0001767528165 71.7835572661173 955617 15186 -405.6450349141312 0.16226843902995128
31 2279.886341494946 2.4568121677030155E-16 14663.993697025551 2279.5605844811466 3.2073244113514406E-16 14663.105426403397 0.011799555043484242 1.177845307709794E-21 0.1383716765695257 0.9388565742676256 -2.6780358603421282E-17 -0.3443084875023896 5000.0 5000.000003242568 81.16268461298287 1201875 32054 -40.213082061314125 1.7947142703246943
32 -2744.9813790303742 1.3117495048505974E-16 223.90122943344937 -2745.5847387820227 2.0626499915962543E-16 223.27771400188448 -0.060261665293705705 2.581411343653026E-21 0.125117875298923 0.7186264925880935 2.2116892963424187E-18 -0.6953962635915621 5000.0 5000.000173556967 175.33685074480644 634626 10323 280.5315505728393 3.833975932142769
33 1767.3314248195688 -3.120047549197877E-16 14663.993697025553 1767.9227678987022 -4.02302703619497E-16 14664.865611292824 0.010410494809447541 -1.9717395715942522E-21 0.13848311073883385 -0.8276138021004171 2.5019621571660763E-17 0.5612979532327689 5000.0 4999.999999611127 83.12775391450579 1200009 32361 144.02117544214533 1.844045177285207
34 -2744.9813790303742 1.116179047573578E-16 11618.662481234029 -2744.3903200480063 1.2846868069799716E-16 11617.801076033085 -0.020027936209150932 7.25749803983159E-22 0.13742209532191668 0.8245586555331229 -7.810269343366786E-17 0.5657764781223162 5000.0 5000.000038909545 103.29274179734256 1081582 18970 235.93285600163765 2.1190042143412158
35 2407.285291659619 -5.0164092205124235E-18 14663.993697025553 2407.1601538126574 -5.5525278091112E-17 14664.930363477351 0.019776586672128206 -1.5245084127298484E-22 0.1374584918725622 -0.9911933500649052 7.86635436827995E-17 -0.13242259463906966 5000.0 5000.000001241617 80.67730636484383 1204945 32830 -391.5091216139759 0.8433363515569282
36 -1007.835397327426 9.245097635631467E-17 14663.993697025555 -1006.981574397357 -4.469465766291836E-18 14664.720306944004 -0.03551289508159297 2.8177174269360753E-21 0.1342564138393996 -0.6480938552415849 -9.62159512905296E-19 0.7615604735293034 5000.0 5000.000002770782 93.93167450935766 1202786 20442 -356.1447868577873 5.423178512625014
37 -2744.9813790303742 9.506159919066259E-17 6279.2256409727115 -2745.799321988577 1.251846547497088E-16 6279.551256332957 -0.03156197854912854 9.429558982129764E-22 0.1352397594462226 -0.369860820893091 8.609203527184472E-17 -0.9290871732749013 5000.0 5000.000174009465 113.61268080856466 868237 13157 285.23273866460755 5.160318399765074
38 2571.785071821625 1.4650268529861464E-17 14663.993697025553 2572.899221408028 -6.58423299249722E-17 14664.191630167148 0.01490960319835677 -1.8987301641693287E-25 0.13807119214717986 -0.174915207420493 -4.090868474809717E-17 0.9845835008652665 5000.0 5000.000001293243 80.05257789947356 1203457 17897 -174.96615570437032 5.50313428869324
39 -2744.981379127758 -5.7121879483235095E-15 -2534.410366933007 -2745.9070463412795 -5.663851126054112E-15 -2534.2782551131954 -0.12179786118537218 -2.535066984395441E-19 0.06671702048187723 -0.14128892717863265 6.607936387798936E-17 -0.9899684037463949 5000.0 4999.981439564931 222.7159416869171 561129 9373 -321.6589704596808 1.832254836137149
40 -2744.981379030379 2.2606680889098483E-11 -678.4553058496062 -2661.279807754027 1.9737904266908303E-11 -332.5196359583247 -0.9878570699520995 8.139657227178367E-15 0.15284233574296652 -0.9719539848565291 7.462362871867888E-15 0.23517111074297264 5000.0 1.781359844256883E7 193.8831054650903 553090 8798 -292.532196566737 5.267252782210159
