# ELektron2 C++ Simulation Results
# Date: 2026-03-11 15:12:08
# Integrator: DP853 (self-contained)
# DP853 absTol: 9.9999999999999998e-13  relTol: 9.9999999999999998e-13  minStep: 1e-10  maxStep: 10
# Cores: 24
# Total time: 158006 ms
# Total simulations: 1000
# Detected: 22
# Detected ratio: 2.2000000000000002%
# Detector: 1 m, 100 mm x 100 mm aperture
# startEnergy: 5000 eV
# startPos: -14663.993697025551 (reduced)
# detectionDistance: 14663.993697025551 (reduced)
# rangeMin: 9.9999999999999998e-13 m
# rangeMax: 1e-10 m
# spin: 1
# Z: 6
# alpha: 0.0072992700729926996
# reducedBohr: 274.49813790303745
# zitterRadius: 1.93079634e-13 m
# atomCount: 30
# atomSpacing: 735.44784117417589 (reduced) = 1.42e-10 m
# chainHalfLength: 10663.993697025551 (reduced)
# maxTime: 1000000 (reduced)
#
# Columns:
# idx qx qy qz rx ry rz vx vy vz ux uy uz energyIn_eV energyOut_eV angle_deg steps elapsedMs dxZERO_reduced psi0 xDet_mm yDet_mm
#
0 -486.29801983334733 4.1169324415739338e-17 14664.018606745949 -485.18975549295737 -4.1924019353998424e-17 14664.265283053561 -0.003261282552395666 2.6787006725518153e-22 0.13883556602633099 -0.21726225944590041 -3.8666440850184833e-17 0.97611326772039508 5000 4999.9999984685373 91.899384980231275 1198164 4928 513.29071248345554 1.5642489746526482 -23.490252863427983 1.9294052303887203e-18
1 824.32946546355697 -9.6196084699107717e-18 14663.997630274194 824.52248331496878 4.0179553917283508e-17 14663.002853339476 0.0058651169998154085 -1.9672488584240406e-22 0.13874995773589882 0.98169130321439146 -6.2944679451307786e-17 0.19047883048847308 5000 5000.0000014667312 86.782532027176586 1198590 5163 -442.9475741473027 2.638147459929451 42.271126388227536 -1.4178374469623738e-18
2 1360.8422714463334 -2.92922452312452e-16 14664.001806304204 1361.0312201349245 -2.4271119477322284e-16 14663.006129233669 0.0065503223555931547 -1.5579562190701603e-21 0.13871929799114471 0.98246603676843436 -6.2655317471164024e-17 0.18644164213474831 5000 4999.9999985684999 84.698047739835445 1198822 4764 51.338843312560677 5.0451895250084444 47.219979126561761 -1.1230998438080432e-17
3 -484.21713585164127 5.7070381094843042e-17 14663.996759149748 -485.07805549919613 1.0857440497914174e-16 14664.016105090501 0.0011188380654751566 -1.97076237924153e-23 0.13886935788143301 -0.022465578566946098 7.1909112393551226e-17 -0.99974761677406476 5000 4999.9999982790505 91.891266185083538 1197792 4780 140.20382149430566 1.9632363068021477 8.0567670402164833 -1.4191484783303828e-19
4 251.57418925941451 1.7433124593197621e-16 14664.016915737597 251.25334891949316 1.390558365029479e-16 14664.898744404707 -0.00251387123382216 -3.1342409149542322e-21 0.13885111024057267 -0.93973338779864968 8.7043206560652914e-17 -0.34190811873508442 5000 5000.0000000158561 89.017136609482975 1196630 5762 340.08034844222647 2.1419570901755098 -18.104797501918714 -2.2572674496616293e-17
5 -1272.1942711751656 -5.8035692164469225e-16 14664.007702241684 -1271.771574201792 -5.4779123894346473e-16 14663.064263720302 -0.0058928278038025477 -2.6212195752209693e-21 0.13874878353812845 0.91259009092756227 -7.2898909799878522e-17 0.4088756830826803 5000 4999.9999971787829 94.958351737834533 1198575 5269 55.403187652211997 3.8141285771233542 -42.471203375870942 -1.8891838244482e-17
6 -583.55478549988015 4.5437842680597315e-17 14664.014723304901 -584.0413552675393 2.723525776983288e-17 14664.790995015988 -0.0038532170531141675 2.7861538132894871e-22 0.13882039863080281 -0.84731082270063562 9.304631364596028e-17 -0.5310973254102449 5000 4999.9999984514043 92.278884321713164 1198270 5217 486.69130470380281 5.6340527560738174 -27.756850514180691 2.007020467286908e-18
7 -366.94371455904042 4.476646028132219e-17 14664.00803125647 -367.0843465341635 1.1237900323897193e-16 14663.0548717048 0.00240412621996076 -1.0102145360698081e-22 0.13885305374612428 0.98929008231249094 -4.2780749414970364e-17 -0.14596278050624784 5000 4999.9999984072665 91.433437535356461 1197734 6417 209.61337355305673 3.7809166716968008 17.314176066710129 -7.2754218133139593e-19
8 98.052869806044797 -1.0092459339528528e-17 14664.000284260597 98.852888394857004 -1.0544290177385635e-16 14664.750486602377 -0.0067350388806021472 -1.5349090770681572e-22 0.13871045242290972 -0.68403085789851448 4.8230443355838879e-18 0.7294530727129872 5000 4999.9999990876013 89.616889540842209 1197593 5656 57.804316971891858 3.5507011586279051 -48.55466017851279 -1.1065561752970306e-18
9 92.969567793202529 4.9855367159544847e-18 14664.007861705484 92.628534906786513 -2.8207332557805539e-17 14664.883012259505 -0.0066760353575314683 1.4640023437643892e-22 0.13871330477471727 -0.93175393086726177 8.7634224624294785e-17 -0.3630903628168512 5000 5000.0000015939249 89.636750570566321 1197663 5558 -209.82475421282021 0.184104492115479 -48.128298639946202 1.0554159502883008e-18
