# ELektron2 ROCm/HIP Simulation Results
# Date: 2026-03-11 21:36:14
# Integrator: DP853 (ROCm/HIP, GPU: AMD Instinct MI300X VF)
# DP853 absTol: 9.9999999999999998e-13  relTol: 9.9999999999999998e-13  minStep: 1e-10  maxStep: 10
# Kernel time: 275390 ms
# Total time: 275408 ms
# Total simulations: 10000
# Detected: 379
# Detected ratio: 3.79%
# Detector: 100mm x 100mm at 1m
# startEnergy: 5000 eV
# startPos: -14663.993697025551 (reduced)
# detectionDistance: 14663.993697025551 (reduced)
# rangeMin: 9.9999999999999998e-13 m
# rangeMax: 1e-10 m
# spin: 1
# Z: 6
# alpha: 0.0072992700729926996
# reducedBohr: 274.49813790303745
# zitterRadius: 1.93079634e-13 m
# atomCount: 30
# atomSpacing: 735.44784117417589 (reduced) = 1.42e-10 m
# chainHalfLength: 10663.993697025551 (reduced)
# maxTime: 1000000 (reduced)
# Summary: isNaN=3 isPos=1991 isNeg=32 xyEscape=7974
#
# Columns:
# idx qx qy qz rx ry rz vx vy vz ux uy uz energyIn_eV energyOut_eV angle_deg steps apexCharge exitCode dxZERO_reduced psi0 xDet_mm yDet_mm
#
0 -151.86115601933741 1.3444833239910819e-16 14664.008898499284 -151.67978842783896 6.1845547068899949e-17 14665.001928567575 -0.0035889657227815117 3.9063519265079964e-21 0.13882759306744552 -0.98372720998289009 5.7407343007912287e-17 0.17966851312631996 5000 5000.0081311585673 90.593336538318908 1196805 44.805239186043863 0 4.0897664098362494e-11 5.2842515348338495 -25.851962448401107 2.8138152079105803e-17
1 -446.56756038323522 4.3614013015087874e-17 14664.011625820121 -445.45496312201828 -3.8449220947999905e-17 14664.237207550024 -4.8569111214492492e-05 9.1142368451153403e-23 0.13887379674061048 -0.19870918237998852 -3.9883919806736194e-17 0.9800584984715911 5000 4999.9956373320047 91.744306529333585 1197922 67.682361853564331 0 7.9283425596506141e-11 3.4477694454101604 -0.34973560422784611 6.5629636828745888e-19
2 266.71934153591934 2.3332801834777866e-12 14664.263021559902 269.15248140856818 2.3335024600835784e-12 14664.928281503548 0.0025491073031483902 2.1363639658926264e-17 0.58587574988564428 -0.26373591294057852 -1.303086932571804e-16 0.9645949243556472 5000 119555.23880733973 88.957996885099362 389840 0.79652259521341773 0 1.3016477567827799e-11 1.6346882254643524 4.3509349954251295 3.6464454559001948e-14
3 -778.97874818225841 2.6763801357029457e-12 14664.016759554575 -778.52312033536498 2.6762582040944818e-12 14665.198030437759 -0.017379299751412017 5.9772937962795884e-17 0.53004318811017259 -0.93300303995912204 6.1310925977819763e-17 0.35986848762568346 5000 91741.803245111951 93.040795941860722 513565 1.3057125987198752 0 3.6733711404437458e-11 2.6692379888079278 -32.788459773205552 1.1276993894763859e-13
4 989.45741754131427 -6.9155324582431281e-18 14664.001771713256 990.29984297504802 -1.0179052180246135e-16 14664.701135925214 0.0039516987947329106 -1.1715068008485269e-22 0.138816527004511 -0.63875113326142674 2.9528602614855455e-19 0.76941340640692768 5000 4999.9194283014749 86.139803329086078 1198375 59.675086713261535 0 -3.415081393989666e-11 5.6784589938469985 28.467062820297297 -8.4392458601882289e-19
5 619.75441456893134 -6.4207886038317667e-18 14664.012930392279 619.24092942016091 7.1744464651334468e-17 14663.258270002674 0.0044336138232621246 -1.8836470303579508e-22 0.13880304257296952 0.8267654498098449 -6.9147261951427711e-18 -0.56254679070990576 5000 4999.997683764972 87.579912628770529 1198286 67.921741810514376 0 -9.3981289475264204e-11 0.45504795941874149 31.941762522470281 -1.3570646546654098e-18
6 953.93378348009901 -1.2455358302292599e-17 14664.01799711591 953.57208513900503 6.3100710305387039e-17 14663.155586008357 0.0054115234814350174 -1.7667330374255228e-22 0.13876762449550786 0.92217833775367353 -2.357555628047049e-17 -0.38676493327590911 5000 4999.9441839297642 86.277999953836257 1198620 65.816254610939154 0 -6.8680872648319389e-11 1.718929877157265 38.997017503965402 -1.2731593870317459e-18
7 479.05992091618106 2.2679902898656419e-17 14664.01031914196 478.23899245043856 9.0019060468806813e-17 14663.733293311077 -0.0010909312113963291 -4.331721823439007e-22 0.1388690458880176 0.31973976088450867 4.7771138547765803e-17 -0.94750540146052331 5000 4999.9609791345847 88.12886431419895 1197555 22.33717324884568 0 2.8853048005153336e-11 3.2300721845025291 -7.8558270809755797 -3.1192853639478862e-18
8 -769.98074693712636 7.6119908950535156e-17 14663.993711989408 -770.30744472284789 1.5021721290408812e-16 14663.119000286038 -0.001850392235014693 2.0266357103696142e-22 0.13886062945784008 0.93679281530271385 -2.7232162682416217e-17 -0.34988458306056475 5000 4999.9337057988969 93.005741136576432 1198090 56.746536951000486 0 2.7043305530737366e-11 2.7713976464644197 -13.325535410859537 1.459474667717049e-18
9 -643.37133573447704 6.8028198631308084e-17 14664.0085364978 -644.21866565169103 1.0972258299562436e-16 14664.173015032549 -0.00062083626259196666 1.1462189755829404e-22 0.13887172432098047 -0.19055700466506362 8.0948234955987514e-17 -0.98167613137960574 5000 4999.9449886798311 92.512194170245593 1197938 56.986078967191453 0 2.7056678054156843e-11 3.2850960664592868 -4.4705735860022866 8.2537966687418157e-19
