file,energy_eV,detected,total,percent
2026-03-07_132323_java-dp853_1000.dat,5000.0,N/A,1000,N/A
2026-03-07_133053_cpp-boost_1000.dat,5000,N/A,1000,N/A
2026-03-07_134919_cpp-boost_1000.dat,5000,N/A,1000,N/A
2026-03-07_141926_java-dp853_1000.dat,5000.0,N/A,1000,N/A
2026-03-07_142229_java-dp853_1000.dat,5000.0,N/A,1000,N/A
2026-03-07_153926_cpp-boost_1000.dat,5000,N/A,1000,N/A
2026-03-07_154250_cpp-boost_1000.dat,5000,N/A,1000,N/A
2026-03-07_155149_cpp-boost_1000.dat,5000,N/A,1000,N/A
2026-03-07_155400_cpp-boost_1000.dat,5000,N/A,1000,N/A
2026-03-07_175850_cpp-boost_1000.dat,5000,N/A,1000,N/A
2026-03-07_181957_java-dp853_10.dat,5000.0,N/A,10,N/A
2026-03-07_182648_cpp-boost_10.dat,5000,N/A,10,N/A
2026-03-07_190651_cpp-capd_10.dat,5000,N/A,10,N/A
2026-03-07_193705_cpp-capd_10.dat,5000,N/A,10,N/A
2026-03-07_194057_cpp-capd_10.dat,5000,N/A,10,N/A
2026-03-07_194311_cpp-capd_10.dat,5000,N/A,10,N/A
2026-03-07_204622_cpp-capd_10.dat,5000,N/A,10,N/A
2026-03-07_205355_cpp-capd_10.dat,5000,N/A,10,N/A
2026-03-07_205552_java-dp853_10.dat,5000.0,N/A,10,N/A
2026-03-07_210049_java-dp853_24.dat,5000.0,N/A,24,N/A
2026-03-07_210118_cpp-capd_24.dat,5000,N/A,24,N/A
2026-03-07_210646_java-dp853_24.dat,5000.0,N/A,24,N/A
2026-03-07_212239_cpp-capd_24.dat,5000,N/A,24,N/A
2026-03-07_212850_java-dp853_24.dat,5000.0,N/A,24,N/A
2026-03-07_220144_java-dp853_24.dat,5000.0,N/A,24,N/A
2026-03-07_220838_cpp-capd_24.dat,5000,N/A,24,N/A
2026-03-07_221707_java-dp853_24.dat,5000.0,N/A,24,N/A
2026-03-07_225913_cpp-dp853_24.dat,5000,N/A,24,N/A
2026-03-08_222021_cuda-dp853_1.dat,5000,N/A,1,N/A
2026-03-08_232026_java-dp853_24.dat,5000.0,N/A,24,N/A
2026-03-08_232056_cpp-dp853_24.dat,5000,N/A,24,N/A
2026-03-08_233001_java-dp853_24.dat,5000.0,N/A,24,N/A
2026-03-08_233018_cpp-dp853_24.dat,5000,N/A,24,N/A
2026-03-08_233226_cpp-dp853_24.dat,5000,N/A,24,N/A
2026-03-09_103009_cpp-dp853_24.dat,5000,N/A,24,N/A
2026-03-09_103040_java-dp853_24.dat,5000.0,N/A,24,N/A
2026-03-09_104627_cpp-dp853_240.dat,5000,0,240,0.0000
2026-03-09_110403_cpp-dp853_2400.dat,5000,80,2400,3.3333
2026-03-09_112707_cpp-dp853_2400.dat,5000,95,2400,3.9583
2026-03-09_123442_java-dp853_240.dat,5000.0,N/A,240,N/A
2026-03-11_145842_java-dp853_5000eV_100.dat,5000.0,0,100,0.0000
2026-03-11_150456_cpp-dp853_5000eV_100.dat,5000,7,100,7.0000
2026-03-11_151208_cpp-dp853_5000eV_1000.dat,5000,22,1000,2.2000
2026-03-11_154032_cpp-dp853_5000eV_10000.dat,5000,355,10000,3.5500
2026-03-11_170509_cpp-dp853_5000eV_10.dat,5000,0,10,0.0000
2026-03-11_171220_java-dp853_5000eV_100.dat,5000.0,5,100,5.0000
2026-03-11_213614_rocm-dp853_5000eV_10000.dat,5000,379,10000,3.7900
2026-03-11_221635_rocm-dp853_5000eV_100000.dat,5000,3620,100000,3.6200
2026-03-11_223231_rocm-dp853_4990eV_100000.dat,4990,3608,100000,3.6080
2026-03-11_225243_rocm-dp853_5000eV_100000.dat,5000,3565,100000,3.5650
2026-03-12_015722_rocm-dp853_4991eV_750000.dat,4991,26941,750000,3.5921
2026-03-12_034339_rocm-dp853_4993eV_750000.dat,4993,26984,750000,3.5979
2026-03-12_053143_rocm-dp853_4995eV_750000.dat,4995,26938,750000,3.5917
2026-03-12_071515_rocm-dp853_4997eV_750000.dat,4997,26511,750000,3.5348
2026-03-12_090307_rocm-dp853_4999eV_750000.dat,4999,26808,750000,3.5744
2026-03-12_103625_rocm-dp853_5001eV_750000.dat,5001,26936,750000,3.5915
2026-03-12_123047_rocm-dp853_5003eV_750000.dat,5003,26478,750000,3.5304
2026-03-12_140730_rocm-dp853_5005eV_750000.dat,5005,27385,750000,3.6513
2026-03-12_154946_rocm-dp853_5007eV_750000.dat,5007,26974,750000,3.5965
2026-03-12_173356_rocm-dp853_5009eV_750000.dat,5009,27107,750000,3.6143
